Crisp_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Crisp
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(4, 1.0, 0.275): 0.466666666667
(4, 1.0, 0.3): 0.333333333333
(4, 10.0, 0.2): 0.333333333333
(4, 10.0, 0.225): 0.4
(4, 10.0, 0.25): 0.133333333333
(4, 10.0, 0.275): 0.4
(4, 10.0, 0.3): 0.2
(4, 100.0, 0.2): 0.4
(4, 100.0, 0.225): 0.6
(4, 100.0, 0.25): 0.133333333333
(4, 100.0, 0.275): 0.4
(4, 100.0, 0.3): 0.266666666667
(5, 1.0, 0.2): 0.4
(5, 1.0, 0.225): 0.333333333333
(5, 1.0, 0.25): 0.4
(5, 1.0, 0.275): 0.466666666667
(5, 1.0, 0.3): 0.533333333333
(5, 10.0, 0.2): 0.533333333333
(5, 10.0, 0.225): 0.466666666667
(5, 10.0, 0.25): 0.4
(5, 10.0, 0.275): 0.466666666667
(5, 10.0, 0.3): 0.466666666667
(5, 100.0, 0.2): 0.4
(5, 100.0, 0.225): 0.266666666667
(5, 100.0, 0.25): 0.6
(5, 100.0, 0.275): 0.333333333333
(5, 100.0, 0.3): 0.6
(6, 1.0, 0.2): 0.333333333333
(6, 1.0, 0.225): 0.2
(6, 1.0, 0.25): 0.533333333333
(6, 1.0, 0.275): 0.6
(6, 1.0, 0.3): 0.466666666667
(6, 10.0, 0.2): 0.333333333333
(6, 10.0, 0.225): 0.333333333333
(6, 10.0, 0.25): 0.266666666667
(6, 10.0, 0.275): 0.4
(6, 10.0, 0.3): 0.533333333333
(6, 100.0, 0.2): 0.333333333333
(6, 100.0, 0.225): 0.466666666667
(6, 100.0, 0.25): 0.533333333333
(6, 100.0, 0.275): 0.4
(6, 100.0, 0.3): 0.4
(7, 1.0, 0.2): 0.6
(7, 1.0, 0.225): 0.466666666667
(7, 1.0, 0.25): 0.533333333333
(7, 1.0, 0.275): 0.466666666667
(7, 1.0, 0.3): 0.6
(7, 10.0, 0.2): 0.466666666667
(7, 10.0, 0.225): 0.333333333333
(7, 10.0, 0.25): 0.4
(7, 10.0, 0.275): 0.466666666667
(7, 10.0, 0.3): 0.666666666667
(7, 100.0, 0.2): 0.533333333333
(7, 100.0, 0.225): 0.466666666667
(7, 100.0, 0.25): 0.333333333333
(7, 100.0, 0.275): 0.466666666667
(7, 100.0, 0.3): 0.533333333333
(8, 0.1, 0.3): 0.266666666667
(8, 1.0, 0.2): 0.4
(8, 1.0, 0.225): 0.466666666667
(8, 1.0, 0.25): 0.533333333333
(8, 1.0, 0.275): 0.333333333333
(8, 1.0, 0.3): 0.266666666667
(8, 10.0, 0.2): 0.266666666667
(8, 10.0, 0.225): 0.466666666667
(8, 10.0, 0.25): 0.133333333333
(8, 10.0, 0.275): 0.266666666667
(8, 10.0, 0.3): 0.2
(8, 100.0, 0.2): 0.533333333333
(8, 100.0, 0.225): 0.533333333333
(8, 100.0, 0.25): 0.266666666667
(8, 100.0, 0.275): 0.333333333333
(8, 100.0, 0.3): 0.333333333333
(9, 1.0, 0.2): 0.666666666667
(9, 1.0, 0.225): 0.533333333333
(9, 1.0, 0.25): 0.6
(9, 1.0, 0.275): 0.8
(9, 1.0, 0.3): 0.6
(9, 10.0, 0.2): 0.466666666667
(9, 10.0, 0.225): 0.666666666667
(9, 10.0, 0.25): 0.733333333333
(9, 10.0, 0.275): 0.533333333333
(9, 10.0, 0.3): 0.8
(9, 100.0, 0.2): 0.666666666667
(9, 100.0, 0.225): 0.6
(9, 100.0, 0.25): 0.733333333333
(9, 100.0, 0.275): 0.666666666667
(9, 100.0, 0.3): 0.6

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 0.1, 0.275): 0.4
(0, 0.1, 0.3): 0.533333333333
(0, 1.0, 0.2): 0.333333333333
(0, 1.0, 0.225): 0.533333333333
(0, 1.0, 0.25): 0.6
(0, 1.0, 0.275): 0.266666666667
(0, 1.0, 0.3): 0.4
(0, 10.0, 0.2): 0.6
(0, 10.0, 0.225): 0.4
(0, 10.0, 0.25): 0.533333333333
(0, 10.0, 0.275): 0.4
(0, 10.0, 0.3): 0.333333333333
(0, 100.0, 0.2): 0.466666666667
(0, 100.0, 0.225): 0.4
(0, 100.0, 0.25): 0.6
(0, 100.0, 0.275): 0.333333333333
(0, 100.0, 0.3): 0.4
(1, 1.0, 0.2): 0.733333333333
(1, 1.0, 0.225): 0.533333333333
(1, 1.0, 0.25): 0.733333333333
(1, 1.0, 0.275): 0.4
(1, 1.0, 0.3): 0.6
(1, 10.0, 0.2): 0.733333333333
(1, 10.0, 0.225): 0.666666666667
(1, 10.0, 0.25): 0.666666666667
(1, 10.0, 0.275): 0.6
(1, 10.0, 0.3): 0.466666666667
(1, 100.0, 0.2): 0.266666666667
(1, 100.0, 0.225): 0.4
(1, 100.0, 0.25): 0.6
(1, 100.0, 0.275): 0.533333333333
(1, 100.0, 0.3): 0.733333333333
(2, 1.0, 0.2): 0.666666666667
(2, 1.0, 0.225): 0.4
(2, 1.0, 0.25): 0.6
(2, 1.0, 0.275): 0.333333333333
(2, 1.0, 0.3): 0.6
(2, 10.0, 0.2): 0.533333333333
(2, 10.0, 0.225): 0.666666666667
(2, 10.0, 0.25): 0.6
(2, 10.0, 0.275): 0.466666666667
(2, 10.0, 0.3): 0.733333333333
(2, 100.0, 0.2): 0.266666666667
(2, 100.0, 0.225): 0.4
(2, 100.0, 0.25): 0.6
(2, 100.0, 0.275): 0.333333333333
(2, 100.0, 0.3): 0.333333333333
(3, 1.0, 0.225): 0.533333333333
(3, 1.0, 0.25): 0.333333333333
(3, 1.0, 0.275): 0.466666666667
(3, 1.0, 0.3): 0.6
(3, 10.0, 0.225): 0.466666666667
(3, 10.0, 0.25): 0.4
(3, 10.0, 0.275): 0.533333333333
(3, 10.0, 0.3): 0.533333333333
(3, 100.0, 0.2): 0.533333333333
(3, 100.0, 0.225): 0.666666666667
(3, 100.0, 0.25): 0.533333333333
(3, 100.0, 0.275): 0.6
(3, 100.0, 0.3): 0.666666666667
(4, 1.0, 0.2): 0.466666666667
(4, 1.0, 0.225): 0.333333333333
(4, 1.0, 0.25): 0.6
(4, 1.0, 0.275): 0.533333333333
(4, 1.0, 0.3): 0.666666666667
(4, 10.0, 0.2): 0.666666666667
(4, 10.0, 0.225): 0.6
(4, 10.0, 0.25): 0.866666666667
(4, 10.0, 0.275): 0.6
(4, 10.0, 0.3): 0.8
(4, 100.0, 0.2): 0.6
(4, 100.0, 0.225): 0.4
(4, 100.0, 0.25): 0.866666666667
(4, 100.0, 0.275): 0.6
(4, 100.0, 0.3): 0.733333333333
(5, 1.0, 0.2): 0.6
(5, 1.0, 0.225): 0.666666666667
(5, 1.0, 0.25): 0.6
(5, 1.0, 0.275): 0.533333333333
(5, 1.0, 0.3): 0.466666666667
(5, 10.0, 0.2): 0.466666666667
(5, 10.0, 0.225): 0.533333333333
(5, 10.0, 0.25): 0.6
(5, 10.0, 0.275): 0.533333333333
(5, 10.0, 0.3): 0.533333333333
(5, 100.0, 0.2): 0.6
(5, 100.0, 0.225): 0.733333333333
(5, 100.0, 0.25): 0.4
(5, 100.0, 0.275): 0.666666666667
(5, 100.0, 0.3): 0.4
(6, 1.0, 0.2): 0.666666666667
(6, 1.0, 0.225): 0.8
(6, 1.0, 0.25): 0.466666666667
(6, 1.0, 0.275): 0.4
(6, 1.0, 0.3): 0.533333333333
(6, 10.0, 0.2): 0.666666666667
(6, 10.0, 0.225): 0.666666666667
(6, 10.0, 0.25): 0.733333333333
(6, 10.0, 0.275): 0.6
(6, 10.0, 0.3): 0.466666666667
(6, 100.0, 0.2): 0.666666666667
(6, 100.0, 0.225): 0.533333333333
(6, 100.0, 0.25): 0.466666666667
(6, 100.0, 0.275): 0.6
(6, 100.0, 0.3): 0.6
(7, 1.0, 0.2): 0.4
(7, 1.0, 0.225): 0.533333333333
(7, 1.0, 0.25): 0.466666666667
(7, 1.0, 0.275): 0.533333333333
(7, 1.0, 0.3): 0.4
(7, 10.0, 0.2): 0.533333333333
(7, 10.0, 0.225): 0.666666666667
(7, 10.0, 0.25): 0.6
(7, 10.0, 0.275): 0.533333333333
(7, 10.0, 0.3): 0.333333333333
(7, 100.0, 0.2): 0.466666666667
(7, 100.0, 0.225): 0.533333333333
(7, 100.0, 0.25): 0.666666666667
(7, 100.0, 0.275): 0.533333333333
(7, 100.0, 0.3): 0.466666666667
(8, 0.1, 0.3): 0.733333333333
(8, 1.0, 0.2): 0.6
(8, 1.0, 0.225): 0.533333333333
(8, 1.0, 0.25): 0.466666666667
(8, 1.0, 0.275): 0.666666666667
(8, 1.0, 0.3): 0.733333333333
(8, 10.0, 0.2): 0.733333333333
(8, 10.0, 0.225): 0.533333333333
(8, 10.0, 0.25): 0.866666666667
(8, 10.0, 0.275): 0.733333333333
(8, 10.0, 0.3): 0.8
(8, 100.0, 0.2): 0.466666666667
(8, 100.0, 0.225): 0.466666666667
(8, 100.0, 0.25): 0.733333333333
(8, 100.0, 0.275): 0.666666666667
(8, 100.0, 0.3): 0.666666666667
(9, 1.0, 0.2): 0.333333333333
(9, 1.0, 0.225): 0.466666666667
(9, 1.0, 0.25): 0.4
(9, 1.0, 0.275): 0.2
(9, 1.0, 0.3): 0.4
(9, 10.0, 0.2): 0.533333333333
(9, 10.0, 0.225): 0.333333333333
(9, 10.0, 0.25): 0.266666666667
(9, 10.0, 0.275): 0.466666666667
(9, 10.0, 0.3): 0.2
(9, 100.0, 0.2): 0.333333333333
(9, 100.0, 0.225): 0.4
(9, 100.0, 0.25): 0.266666666667
(9, 100.0, 0.275): 0.333333333333
(9, 100.0, 0.3): 0.4

Accuracy mean :0.4666666666666667
Std deviation :0.14271621346735847
Loss mean :0.5333333333333333
Std deviation :0.14271621346735847



Linear_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.933333333333
(1, 10.0, 0.2): 0.933333333333
(2, 10.0, 0.225): 1.0
(3, 10.0, 0.2): 0.933333333333
(4, 10.0, 0.2): 0.866666666667
(5, 10.0, 0.225): 0.866666666667
(6, 10.0, 0.2): 0.6
(7, 10.0, 0.25): 0.533333333333
(8, 100.0, 0.225): 0.866666666667
(9, 1.0, 0.225): 0.733333333333

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.0666666666667
(1, 10.0, 0.2): 0.0666666666667
(2, 10.0, 0.225): 0.0
(3, 10.0, 0.2): 0.0666666666667
(4, 10.0, 0.2): 0.133333333333
(5, 10.0, 0.225): 0.133333333333
(6, 10.0, 0.2): 0.4
(7, 10.0, 0.25): 0.466666666667
(8, 100.0, 0.225): 0.133333333333
(9, 1.0, 0.225): 0.266666666667

Accuracy mean :0.8266666666666668
Std deviation :0.14666666666666667
Loss mean :0.17333333333333334
Std deviation :0.14666666666666667

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 1.0, 0.2): 0.866666666667
(1, 10.0, 0.2): 0.925925925926
(2, 10.0, 0.225): 0.874074074074
(3, 10.0, 0.2): 0.874074074074
(4, 10.0, 0.2): 0.859259259259
(5, 10.0, 0.225): 0.762962962963
(6, 10.0, 0.2): 0.762962962963
(7, 10.0, 0.25): 0.681481481481
(8, 100.0, 0.225): 0.918518518519
(9, 1.0, 0.225): 0.903703703704
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.133333333333
(1, 10.0, 0.2): 0.0740740740741
(2, 10.0, 0.225): 0.125925925926
(3, 10.0, 0.2): 0.125925925926
(4, 10.0, 0.2): 0.140740740741
(5, 10.0, 0.225): 0.237037037037
(6, 10.0, 0.2): 0.237037037037
(7, 10.0, 0.25): 0.318518518519
(8, 100.0, 0.225): 0.0814814814815
(9, 1.0, 0.225): 0.0962962962963

Accuracy mean :0.842962962962963
Std deviation :0.07610547874987451
Loss mean :0.15703703703703703
Std deviation :0.07610547874987451

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 1.0, 0.2): 0.933333333333
(0, 1.0, 0.225): 0.933333333333
(0, 1.0, 0.25): 0.133333333333
(0, 1.0, 0.275): 0.6
(0, 1.0, 0.3): 0.533333333333
(0, 10.0, 0.2): 0.933333333333
(0, 10.0, 0.225): 0.266666666667
(0, 10.0, 0.25): 0.466666666667
(0, 10.0, 0.275): 0.466666666667
(0, 10.0, 0.3): 0.533333333333
(0, 100.0, 0.2): 0.933333333333
(0, 100.0, 0.225): 0.266666666667
(0, 100.0, 0.25): 0.466666666667
(0, 100.0, 0.275): 0.6
(0, 100.0, 0.3): 0.533333333333
(1, 1.0, 0.2): 0.8
(1, 1.0, 0.225): 0.733333333333
(1, 1.0, 0.25): 0.666666666667
(1, 1.0, 0.275): 0.8
(1, 1.0, 0.3): 0.733333333333
(1, 10.0, 0.2): 0.8
(1, 10.0, 0.225): 0.733333333333
(1, 10.0, 0.25): 0.666666666667
(1, 10.0, 0.275): 0.733333333333
(1, 10.0, 0.3): 0.666666666667
(1, 100.0, 0.2): 0.8
(1, 100.0, 0.225): 0.8
(1, 100.0, 0.25): 0.733333333333
(1, 100.0, 0.275): 0.733333333333
(1, 100.0, 0.3): 0.733333333333
(2, 0.1, 0.25): 0.733333333333
(2, 1.0, 0.2): 0.933333333333
(2, 1.0, 0.225): 0.933333333333
(2, 1.0, 0.25): 0.733333333333
(2, 1.0, 0.275): 0.733333333333
(2, 1.0, 0.3): 0.733333333333
(2, 10.0, 0.2): 0.866666666667
(2, 10.0, 0.225): 0.933333333333
(2, 10.0, 0.25): 0.733333333333
(2, 10.0, 0.275): 0.866666666667
(2, 10.0, 0.3): 0.733333333333
(2, 100.0, 0.2): 0.933333333333
(2, 100.0, 0.225): 0.933333333333
(2, 100.0, 0.25): 0.733333333333
(2, 100.0, 0.275): 0.733333333333
(2, 100.0, 0.3): 0.733333333333
(3, 1.0, 0.2): 1.0
(3, 1.0, 0.225): 1.0
(3, 1.0, 0.25): 0.133333333333
(3, 1.0, 0.275): 1.0
(3, 1.0, 0.3): 1.0
(3, 10.0, 0.2): 1.0
(3, 10.0, 0.225): 0.133333333333
(3, 10.0, 0.25): 0.8
(3, 10.0, 0.275): 1.0
(3, 10.0, 0.3): 1.0
(3, 100.0, 0.2): 1.0
(3, 100.0, 0.225): 0.133333333333
(3, 100.0, 0.25): 0.133333333333
(3, 100.0, 0.275): 0.8
(3, 100.0, 0.3): 1.0
(4, 1.0, 0.2): 0.266666666667
(4, 1.0, 0.225): 0.866666666667
(4, 1.0, 0.25): 0.933333333333
(4, 1.0, 0.275): 0.533333333333
(4, 1.0, 0.3): 0.266666666667
(4, 10.0, 0.2): 0.933333333333
(4, 10.0, 0.225): 0.866666666667
(4, 10.0, 0.25): 0.933333333333
(4, 10.0, 0.275): 0.533333333333
(4, 10.0, 0.3): 0.466666666667
(4, 100.0, 0.2): 0.266666666667
(4, 100.0, 0.225): 0.866666666667
(4, 100.0, 0.25): 0.866666666667
(4, 100.0, 0.275): 0.6
(4, 100.0, 0.3): 0.266666666667
(5, 0.1, 0.25): 0.8
(5, 0.1, 0.275): 0.8
(5, 1.0, 0.2): 0.2
(5, 1.0, 0.225): 0.866666666667
(5, 1.0, 0.25): 0.8
(5, 1.0, 0.275): 0.8
(5, 1.0, 0.3): 0.8
(5, 10.0, 0.2): 0.2
(5, 10.0, 0.225): 0.866666666667
(5, 10.0, 0.25): 0.8
(5, 10.0, 0.275): 0.8
(5, 10.0, 0.3): 0.8
(5, 100.0, 0.2): 0.2
(5, 100.0, 0.225): 0.866666666667
(5, 100.0, 0.25): 0.866666666667
(5, 100.0, 0.275): 0.8
(5, 100.0, 0.3): 0.8
(6, 1.0, 0.2): 0.933333333333
(6, 1.0, 0.225): 0.866666666667
(6, 1.0, 0.25): 0.666666666667
(6, 1.0, 0.275): 0.733333333333
(6, 1.0, 0.3): 0.733333333333
(6, 10.0, 0.2): 0.933333333333
(6, 10.0, 0.225): 0.866666666667
(6, 10.0, 0.25): 0.666666666667
(6, 10.0, 0.275): 0.733333333333
(6, 10.0, 0.3): 0.666666666667
(6, 100.0, 0.2): 0.866666666667
(6, 100.0, 0.225): 0.666666666667
(6, 100.0, 0.25): 0.866666666667
(6, 100.0, 0.275): 0.733333333333
(6, 100.0, 0.3): 0.666666666667
(7, 1.0, 0.225): 0.866666666667
(7, 1.0, 0.25): 0.933333333333
(7, 1.0, 0.275): 0.933333333333
(7, 1.0, 0.3): 0.666666666667
(7, 10.0, 0.2): 0.333333333333
(7, 10.0, 0.225): 0.866666666667
(7, 10.0, 0.25): 1.0
(7, 10.0, 0.275): 0.933333333333
(7, 10.0, 0.3): 0.933333333333
(7, 100.0, 0.2): 0.866666666667
(7, 100.0, 0.225): 0.866666666667
(7, 100.0, 0.25): 0.933333333333
(7, 100.0, 0.275): 0.933333333333
(7, 100.0, 0.3): 0.666666666667
(8, 1.0, 0.2): 0.866666666667
(8, 1.0, 0.225): 0.933333333333
(8, 1.0, 0.25): 0.733333333333
(8, 1.0, 0.275): 0.933333333333
(8, 1.0, 0.3): 0.733333333333
(8, 10.0, 0.2): 0.8
(8, 10.0, 0.225): 0.933333333333
(8, 10.0, 0.25): 0.733333333333
(8, 10.0, 0.275): 0.933333333333
(8, 10.0, 0.3): 0.733333333333
(8, 100.0, 0.2): 0.866666666667
(8, 100.0, 0.225): 0.933333333333
(8, 100.0, 0.25): 0.733333333333
(8, 100.0, 0.275): 0.933333333333
(8, 100.0, 0.3): 0.733333333333
(9, 1.0, 0.2): 0.666666666667
(9, 1.0, 0.225): 1.0
(9, 1.0, 0.25): 0.866666666667
(9, 1.0, 0.275): 0.8
(9, 1.0, 0.3): 0.666666666667
(9, 10.0, 0.2): 0.733333333333
(9, 10.0, 0.225): 1.0
(9, 10.0, 0.25): 0.733333333333
(9, 10.0, 0.275): 0.866666666667
(9, 10.0, 0.3): 0.666666666667
(9, 100.0, 0.2): 0.733333333333
(9, 100.0, 0.225): 1.0
(9, 100.0, 0.25): 0.866666666667
(9, 100.0, 0.275): 0.866666666667
(9, 100.0, 0.3): 0.666666666667

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.0666666666667
(0, 1.0, 0.225): 0.0666666666667
(0, 1.0, 0.25): 0.866666666667
(0, 1.0, 0.275): 0.4
(0, 1.0, 0.3): 0.466666666667
(0, 10.0, 0.2): 0.0666666666667
(0, 10.0, 0.225): 0.733333333333
(0, 10.0, 0.25): 0.533333333333
(0, 10.0, 0.275): 0.533333333333
(0, 10.0, 0.3): 0.466666666667
(0, 100.0, 0.2): 0.0666666666667
(0, 100.0, 0.225): 0.733333333333
(0, 100.0, 0.25): 0.533333333333
(0, 100.0, 0.275): 0.4
(0, 100.0, 0.3): 0.466666666667
(1, 1.0, 0.2): 0.2
(1, 1.0, 0.225): 0.266666666667
(1, 1.0, 0.25): 0.333333333333
(1, 1.0, 0.275): 0.2
(1, 1.0, 0.3): 0.266666666667
(1, 10.0, 0.2): 0.2
(1, 10.0, 0.225): 0.266666666667
(1, 10.0, 0.25): 0.333333333333
(1, 10.0, 0.275): 0.266666666667
(1, 10.0, 0.3): 0.333333333333
(1, 100.0, 0.2): 0.2
(1, 100.0, 0.225): 0.2
(1, 100.0, 0.25): 0.266666666667
(1, 100.0, 0.275): 0.266666666667
(1, 100.0, 0.3): 0.266666666667
(2, 0.1, 0.25): 0.266666666667
(2, 1.0, 0.2): 0.0666666666667
(2, 1.0, 0.225): 0.0666666666667
(2, 1.0, 0.25): 0.266666666667
(2, 1.0, 0.275): 0.266666666667
(2, 1.0, 0.3): 0.266666666667
(2, 10.0, 0.2): 0.133333333333
(2, 10.0, 0.225): 0.0666666666667
(2, 10.0, 0.25): 0.266666666667
(2, 10.0, 0.275): 0.133333333333
(2, 10.0, 0.3): 0.266666666667
(2, 100.0, 0.2): 0.0666666666667
(2, 100.0, 0.225): 0.0666666666667
(2, 100.0, 0.25): 0.266666666667
(2, 100.0, 0.275): 0.266666666667
(2, 100.0, 0.3): 0.266666666667
(3, 1.0, 0.2): 0.0
(3, 1.0, 0.225): 0.0
(3, 1.0, 0.25): 0.866666666667
(3, 1.0, 0.275): 0.0
(3, 1.0, 0.3): 0.0
(3, 10.0, 0.2): 0.0
(3, 10.0, 0.225): 0.866666666667
(3, 10.0, 0.25): 0.2
(3, 10.0, 0.275): 0.0
(3, 10.0, 0.3): 0.0
(3, 100.0, 0.2): 0.0
(3, 100.0, 0.225): 0.866666666667
(3, 100.0, 0.25): 0.866666666667
(3, 100.0, 0.275): 0.2
(3, 100.0, 0.3): 0.0
(4, 1.0, 0.2): 0.733333333333
(4, 1.0, 0.225): 0.133333333333
(4, 1.0, 0.25): 0.0666666666667
(4, 1.0, 0.275): 0.466666666667
(4, 1.0, 0.3): 0.733333333333
(4, 10.0, 0.2): 0.0666666666667
(4, 10.0, 0.225): 0.133333333333
(4, 10.0, 0.25): 0.0666666666667
(4, 10.0, 0.275): 0.466666666667
(4, 10.0, 0.3): 0.533333333333
(4, 100.0, 0.2): 0.733333333333
(4, 100.0, 0.225): 0.133333333333
(4, 100.0, 0.25): 0.133333333333
(4, 100.0, 0.275): 0.4
(4, 100.0, 0.3): 0.733333333333
(5, 0.1, 0.25): 0.2
(5, 0.1, 0.275): 0.2
(5, 1.0, 0.2): 0.8
(5, 1.0, 0.225): 0.133333333333
(5, 1.0, 0.25): 0.2
(5, 1.0, 0.275): 0.2
