Force_True_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [1.e-02 1.e-01 1.e+00 1.e+01 1.e+02]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: True
Force the labels to be always represent by a cluster: True

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.3): 0.259259259259
(1, 10.0, 0.275): 0.288888888889
(2, 100.0, 0.225): 0.148148148148
(3, 10.0, 0.225): 0.155555555556
(4, 10.0, 0.2): 0.162962962963
(5, 100.0, 0.25): 0.222222222222
(6, 10.0, 0.25): 0.288888888889
(7, 10.0, 0.225): 0.125925925926
(8, 100.0, 0.2): 0.325925925926
(9, 100.0, 0.2): 0.185185185185

Accuracy mean :0.7837037037037037
Std deviation :0.06689672239926303
Loss mean :0.2162962962962963
Std deviation :0.06689672239926303

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 0.1, 0.3): 1.0
(0, 1.0, 0.2): 0.733333333333
(0, 1.0, 0.225): 0.4
(0, 1.0, 0.25): 0.466666666667
(0, 1.0, 0.275): 0.866666666667
(0, 1.0, 0.3): 1.0
(0, 10.0, 0.2): 0.733333333333
(0, 10.0, 0.225): 0.866666666667
(0, 10.0, 0.25): 0.466666666667
(0, 10.0, 0.275): 0.866666666667
(0, 10.0, 0.3): 1.0
(0, 100.0, 0.2): 0.733333333333
(0, 100.0, 0.225): 0.4
(0, 100.0, 0.25): 0.466666666667
(0, 100.0, 0.275): 0.866666666667
(0, 100.0, 0.3): 1.0
(1, 0.1, 0.275): 0.866666666667
(1, 1.0, 0.2): 0.8
(1, 1.0, 0.225): 0.8
(1, 1.0, 0.25): 0.8
(1, 1.0, 0.275): 0.866666666667
(1, 10.0, 0.2): 0.8
(1, 10.0, 0.225): 0.8
(1, 10.0, 0.25): 0.8
(1, 10.0, 0.275): 0.866666666667
(1, 100.0, 0.2): 0.8
(1, 100.0, 0.25): 0.8
(1, 100.0, 0.275): 0.8
(2, 1.0, 0.225): 0.8
(2, 1.0, 0.25): 0.666666666667
(2, 10.0, 0.225): 0.8
(2, 10.0, 0.25): 0.666666666667
(2, 100.0, 0.225): 0.8
(2, 100.0, 0.25): 0.666666666667
(3, 1.0, 0.2): 0.733333333333
(3, 1.0, 0.225): 0.8
(3, 1.0, 0.25): 0.533333333333
(3, 10.0, 0.2): 0.8
(3, 10.0, 0.225): 0.8
(3, 10.0, 0.25): 0.8
(3, 100.0, 0.2): 0.8
(3, 100.0, 0.225): 0.8
(3, 100.0, 0.25): 0.533333333333
(4, 1.0, 0.2): 0.8
(4, 1.0, 0.225): 0.666666666667
(4, 1.0, 0.25): 0.733333333333
(4, 1.0, 0.275): 0.666666666667
(4, 1.0, 0.3): 0.666666666667
(4, 10.0, 0.2): 0.8
(4, 10.0, 0.225): 0.666666666667
(4, 10.0, 0.25): 0.733333333333
(4, 10.0, 0.275): 0.666666666667
(4, 100.0, 0.2): 0.733333333333
(4, 100.0, 0.225): 0.733333333333
(4, 100.0, 0.25): 0.666666666667
(4, 100.0, 0.275): 0.666666666667
(5, 1.0, 0.2): 0.533333333333
(5, 1.0, 0.225): 0.733333333333
(5, 1.0, 0.25): 0.8
(5, 1.0, 0.275): 0.733333333333
(5, 1.0, 0.3): 0.8
(5, 10.0, 0.2): 0.533333333333
(5, 10.0, 0.225): 0.733333333333
(5, 10.0, 0.25): 0.8
(5, 10.0, 0.275): 0.8
(5, 10.0, 0.3): 0.8
(5, 100.0, 0.2): 0.6
(5, 100.0, 0.225): 0.8
(5, 100.0, 0.25): 0.866666666667
(5, 100.0, 0.275): 0.666666666667
(5, 100.0, 0.3): 0.8
(6, 1.0, 0.2): 0.866666666667
(6, 1.0, 0.225): 0.866666666667
(6, 1.0, 0.25): 0.866666666667
(6, 1.0, 0.275): 0.866666666667
(6, 1.0, 0.3): 0.266666666667
(6, 10.0, 0.2): 0.866666666667
(6, 10.0, 0.225): 0.866666666667
(6, 10.0, 0.25): 0.866666666667
(6, 10.0, 0.275): 0.866666666667
(6, 10.0, 0.3): 0.266666666667
(6, 100.0, 0.2): 0.866666666667
(6, 100.0, 0.225): 0.866666666667
(6, 100.0, 0.25): 0.866666666667
(6, 100.0, 0.275): 0.866666666667
(7, 1.0, 0.225): 0.933333333333
(7, 1.0, 0.275): 0.866666666667
(7, 10.0, 0.225): 0.933333333333
(7, 10.0, 0.275): 0.8
(7, 100.0, 0.2): 0.4
(7, 100.0, 0.225): 0.933333333333
(7, 100.0, 0.25): 0.866666666667
(7, 100.0, 0.275): 0.866666666667
(8, 1.0, 0.225): 0.533333333333
(8, 1.0, 0.25): 0.8
(8, 1.0, 0.275): 0.8
(8, 1.0, 0.3): 0.466666666667
(8, 10.0, 0.225): 0.6
(8, 10.0, 0.25): 0.8
(8, 10.0, 0.275): 0.8
(8, 10.0, 0.3): 0.466666666667
(8, 100.0, 0.2): 0.933333333333
(8, 100.0, 0.225): 0.533333333333
(8, 100.0, 0.275): 0.466666666667
(8, 100.0, 0.3): 0.466666666667
(9, 1.0, 0.2): 0.866666666667
(9, 1.0, 0.225): 0.666666666667
(9, 1.0, 0.25): 0.666666666667
(9, 1.0, 0.275): 0.6
(9, 1.0, 0.3): 0.733333333333
(9, 10.0, 0.2): 0.866666666667
(9, 10.0, 0.225): 0.666666666667
(9, 10.0, 0.25): 0.666666666667
(9, 10.0, 0.275): 0.6
(9, 10.0, 0.3): 0.733333333333
(9, 100.0, 0.2): 0.866666666667
(9, 100.0, 0.225): 0.666666666667
(9, 100.0, 0.25): 0.733333333333
(9, 100.0, 0.275): 0.6
(9, 100.0, 0.3): 0.733333333333

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 0.1, 0.3): 0.0
(0, 1.0, 0.2): 0.266666666667
(0, 1.0, 0.225): 0.6
(0, 1.0, 0.25): 0.533333333333
(0, 1.0, 0.275): 0.133333333333
(0, 1.0, 0.3): 0.0
(0, 10.0, 0.2): 0.266666666667
(0, 10.0, 0.225): 0.133333333333
(0, 10.0, 0.25): 0.533333333333
(0, 10.0, 0.275): 0.133333333333
(0, 10.0, 0.3): 0.0
(0, 100.0, 0.2): 0.266666666667
(0, 100.0, 0.225): 0.6
(0, 100.0, 0.25): 0.533333333333
(0, 100.0, 0.275): 0.133333333333
(0, 100.0, 0.3): 0.0
(1, 0.1, 0.275): 0.133333333333
(1, 1.0, 0.2): 0.2
(1, 1.0, 0.225): 0.2
(1, 1.0, 0.25): 0.2
(1, 1.0, 0.275): 0.133333333333
(1, 10.0, 0.2): 0.2
(1, 10.0, 0.225): 0.2
(1, 10.0, 0.25): 0.2
(1, 10.0, 0.275): 0.133333333333
(1, 100.0, 0.2): 0.2
(1, 100.0, 0.25): 0.2
(1, 100.0, 0.275): 0.2
(2, 1.0, 0.225): 0.2
(2, 1.0, 0.25): 0.333333333333
(2, 10.0, 0.225): 0.2
(2, 10.0, 0.25): 0.333333333333
(2, 100.0, 0.225): 0.2
(2, 100.0, 0.25): 0.333333333333
(3, 1.0, 0.2): 0.266666666667
(3, 1.0, 0.225): 0.2
(3, 1.0, 0.25): 0.466666666667
(3, 10.0, 0.2): 0.2
(3, 10.0, 0.225): 0.2
(3, 10.0, 0.25): 0.2
(3, 100.0, 0.2): 0.2
(3, 100.0, 0.225): 0.2
(3, 100.0, 0.25): 0.466666666667
(4, 1.0, 0.2): 0.2
(4, 1.0, 0.225): 0.333333333333
(4, 1.0, 0.25): 0.266666666667
(4, 1.0, 0.275): 0.333333333333
(4, 1.0, 0.3): 0.333333333333
(4, 10.0, 0.2): 0.2
(4, 10.0, 0.225): 0.333333333333
(4, 10.0, 0.25): 0.266666666667
(4, 10.0, 0.275): 0.333333333333
(4, 100.0, 0.2): 0.266666666667
(4, 100.0, 0.225): 0.266666666667
(4, 100.0, 0.25): 0.333333333333
(4, 100.0, 0.275): 0.333333333333
(5, 1.0, 0.2): 0.466666666667
(5, 1.0, 0.225): 0.266666666667
(5, 1.0, 0.25): 0.2
(5, 1.0, 0.275): 0.266666666667
(5, 1.0, 0.3): 0.2
(5, 10.0, 0.2): 0.466666666667
(5, 10.0, 0.225): 0.266666666667
(5, 10.0, 0.25): 0.2
(5, 10.0, 0.275): 0.2
(5, 10.0, 0.3): 0.2
(5, 100.0, 0.2): 0.4
(5, 100.0, 0.225): 0.2
(5, 100.0, 0.25): 0.133333333333
(5, 100.0, 0.275): 0.333333333333
(5, 100.0, 0.3): 0.2
(6, 1.0, 0.2): 0.133333333333
(6, 1.0, 0.225): 0.133333333333
(6, 1.0, 0.25): 0.133333333333
(6, 1.0, 0.275): 0.133333333333
(6, 1.0, 0.3): 0.733333333333
(6, 10.0, 0.2): 0.133333333333
(6, 10.0, 0.225): 0.133333333333
(6, 10.0, 0.25): 0.133333333333
(6, 10.0, 0.275): 0.133333333333
(6, 10.0, 0.3): 0.733333333333
(6, 100.0, 0.2): 0.133333333333
(6, 100.0, 0.225): 0.133333333333
(6, 100.0, 0.25): 0.133333333333
(6, 100.0, 0.275): 0.133333333333
(7, 1.0, 0.225): 0.0666666666667
(7, 1.0, 0.275): 0.133333333333
(7, 10.0, 0.225): 0.0666666666667
(7, 10.0, 0.275): 0.2
(7, 100.0, 0.2): 0.6
(7, 100.0, 0.225): 0.0666666666667
(7, 100.0, 0.25): 0.133333333333
(7, 100.0, 0.275): 0.133333333333
(8, 1.0, 0.225): 0.466666666667
(8, 1.0, 0.25): 0.2
(8, 1.0, 0.275): 0.2
(8, 1.0, 0.3): 0.533333333333
(8, 10.0, 0.225): 0.4
(8, 10.0, 0.25): 0.2
(8, 10.0, 0.275): 0.2
(8, 10.0, 0.3): 0.533333333333
(8, 100.0, 0.2): 0.0666666666667
(8, 100.0, 0.225): 0.466666666667
(8, 100.0, 0.275): 0.533333333333
(8, 100.0, 0.3): 0.533333333333
(9, 1.0, 0.2): 0.133333333333
(9, 1.0, 0.225): 0.333333333333
(9, 1.0, 0.25): 0.333333333333
(9, 1.0, 0.275): 0.4
(9, 1.0, 0.3): 0.266666666667
(9, 10.0, 0.2): 0.133333333333
(9, 10.0, 0.225): 0.333333333333
(9, 10.0, 0.25): 0.333333333333
(9, 10.0, 0.275): 0.4
(9, 10.0, 0.3): 0.266666666667
(9, 100.0, 0.2): 0.133333333333
(9, 100.0, 0.225): 0.333333333333
(9, 100.0, 0.25): 0.266666666667
(9, 100.0, 0.275): 0.4
(9, 100.0, 0.3): 0.266666666667

Accuracy mean :0.7394444444444445
Std deviation :0.15030729839438034
Loss mean :0.26055555555555554
Std deviation :0.1503072983943803



Force_False_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [1.e-02 1.e-01 1.e+00 1.e+01 1.e+02]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.2): 0.333333333333
(1, 10.0, 0.2): 1.0
(2, 100.0, 0.2): 0.8
(3, 1.0, 0.225): 0.8
(4, 1.0, 0.2): 0.933333333333
(5, 1.0, 0.225): 0.8
(6, 10.0, 0.225): 0.866666666667
(7, 1.0, 0.25): 0.866666666667
(8, 10.0, 0.225): 0.733333333333
(9, 1.0, 0.275): 0.666666666667

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.2): 0.666666666667
(1, 10.0, 0.2): 0.0
(2, 100.0, 0.2): 0.2
(3, 1.0, 0.225): 0.2
(4, 1.0, 0.2): 0.0666666666667
(5, 1.0, 0.225): 0.2
(6, 10.0, 0.225): 0.133333333333
(7, 1.0, 0.25): 0.133333333333
(8, 10.0, 0.225): 0.266666666667
(9, 1.0, 0.275): 0.333333333333

Accuracy mean :0.7799999999999999
Std deviation :0.17397317800933187
Loss mean :0.22000000000000003
Std deviation :0.17397317800933185

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 10.0, 0.2): 0.42962962963
(1, 10.0, 0.2): 0.866666666667
(2, 100.0, 0.2): 0.874074074074
(3, 1.0, 0.225): 0.807407407407
(4, 1.0, 0.2): 0.859259259259
(5, 1.0, 0.225): 0.925925925926
(6, 10.0, 0.225): 0.866666666667
(7, 1.0, 0.25): 0.82962962963
(8, 10.0, 0.225): 0.777777777778
(9, 1.0, 0.275): 0.666666666667
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.2): 0.57037037037
(1, 10.0, 0.2): 0.133333333333
(2, 100.0, 0.2): 0.125925925926
(3, 1.0, 0.225): 0.192592592593
(4, 1.0, 0.2): 0.140740740741
(5, 1.0, 0.225): 0.0740740740741
(6, 10.0, 0.225): 0.133333333333
(7, 1.0, 0.25): 0.17037037037
(8, 10.0, 0.225): 0.222222222222
(9, 1.0, 0.275): 0.333333333333

Accuracy mean :0.7903703703703704
Std deviation :0.13754859473003897
Loss mean :0.20962962962962967
Std deviation :0.137548594730039

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 0.1, 0.3): 0.733333333333
(0, 1.0, 0.2): 0.8
(0, 1.0, 0.225): 0.733333333333
(0, 1.0, 0.25): 0.666666666667
(0, 1.0, 0.275): 0.533333333333
(0, 1.0, 0.3): 0.733333333333
(0, 10.0, 0.2): 0.8
(0, 10.0, 0.225): 0.6
(0, 10.0, 0.25): 0.666666666667
(0, 10.0, 0.275): 0.533333333333
(0, 10.0, 0.3): 0.733333333333
(0, 100.0, 0.2): 0.8
(0, 100.0, 0.225): 0.6
(0, 100.0, 0.25): 0.666666666667
(0, 100.0, 0.275): 0.533333333333
(0, 100.0, 0.3): 0.733333333333
(1, 1.0, 0.2): 0.8
(1, 1.0, 0.225): 0.533333333333
(1, 1.0, 0.25): 0.466666666667
(1, 1.0, 0.275): 0.533333333333
(1, 1.0, 0.3): 0.533333333333
(1, 10.0, 0.2): 0.8
(1, 10.0, 0.225): 0.533333333333
(1, 10.0, 0.25): 0.466666666667
(1, 10.0, 0.275): 0.533333333333
(1, 10.0, 0.3): 0.533333333333
(1, 100.0, 0.2): 0.8
(1, 100.0, 0.225): 0.533333333333
(1, 100.0, 0.25): 0.466666666667
(1, 100.0, 0.275): 0.533333333333
(1, 100.0, 0.3): 0.533333333333
(2, 1.0, 0.2): 0.466666666667
(2, 1.0, 0.225): 0.933333333333
(2, 1.0, 0.25): 0.8
(2, 1.0, 0.275): 0.8
(2, 1.0, 0.3): 0.733333333333
(2, 10.0, 0.2): 0.8
(2, 10.0, 0.225): 0.933333333333
(2, 10.0, 0.25): 0.8
(2, 10.0, 0.275): 0.8
(2, 10.0, 0.3): 0.8
(2, 100.0, 0.2): 1.0
(2, 100.0, 0.225): 0.4
(2, 100.0, 0.25): 0.866666666667
(2, 100.0, 0.275): 0.8
(2, 100.0, 0.3): 0.733333333333
(3, 1.0, 0.2): 0.933333333333
(3, 1.0, 0.225): 1.0
(3, 1.0, 0.25): 0.8
(3, 1.0, 0.275): 0.666666666667
(3, 1.0, 0.3): 0.666666666667
(3, 10.0, 0.2): 0.933333333333
(3, 10.0, 0.225): 1.0
(3, 10.0, 0.25): 0.8
(3, 10.0, 0.275): 0.666666666667
(3, 10.0, 0.3): 0.666666666667
(3, 100.0, 0.2): 0.933333333333
(3, 100.0, 0.225): 1.0
(3, 100.0, 0.25): 0.8
(3, 100.0, 0.275): 0.666666666667
(3, 100.0, 0.3): 0.666666666667
(4, 0.1, 0.275): 0.8
(4, 0.1, 0.3): 0.8
(4, 1.0, 0.2): 0.866666666667
(4, 1.0, 0.225): 0.733333333333
(4, 1.0, 0.25): 0.733333333333
(4, 1.0, 0.275): 0.8
(4, 1.0, 0.3): 0.666666666667
(4, 10.0, 0.2): 0.666666666667
(4, 10.0, 0.225): 0.733333333333
(4, 10.0, 0.25): 0.733333333333
(4, 10.0, 0.275): 0.8
(4, 10.0, 0.3): 0.666666666667
(4, 100.0, 0.2): 0.666666666667
(4, 100.0, 0.225): 0.733333333333
(4, 100.0, 0.25): 0.8
(4, 100.0, 0.275): 0.8
(4, 100.0, 0.3): 0.666666666667
(5, 0.1, 0.25): 0.6
(5, 0.1, 0.275): 0.6
(5, 0.1, 0.3): 0.866666666667
(5, 1.0, 0.2): 0.933333333333
(5, 1.0, 0.225): 0.933333333333
(5, 1.0, 0.25): 0.6
(5, 1.0, 0.275): 0.8
(5, 1.0, 0.3): 0.266666666667
(5, 10.0, 0.2): 0.866666666667
(5, 10.0, 0.225): 0.866666666667
(5, 10.0, 0.25): 0.6
(5, 10.0, 0.275): 0.8
(5, 10.0, 0.3): 0.6
(5, 100.0, 0.2): 0.866666666667
(5, 100.0, 0.225): 0.933333333333
(5, 100.0, 0.25): 0.6
(5, 100.0, 0.275): 0.6
(5, 100.0, 0.3): 0.266666666667
(6, 1.0, 0.2): 0.8
(6, 1.0, 0.225): 0.866666666667
(6, 1.0, 0.25): 0.666666666667
(6, 1.0, 0.275): 0.6
(6, 1.0, 0.3): 0.666666666667
(6, 10.0, 0.2): 0.866666666667
(6, 10.0, 0.225): 0.866666666667
(6, 10.0, 0.25): 0.666666666667
(6, 10.0, 0.275): 0.6
(6, 10.0, 0.3): 0.666666666667
(6, 100.0, 0.2): 0.866666666667
(6, 100.0, 0.225): 0.866666666667
(6, 100.0, 0.25): 0.666666666667
(6, 100.0, 0.275): 0.6
(6, 100.0, 0.3): 0.666666666667
(7, 1.0, 0.2): 0.8
(7, 1.0, 0.225): 0.866666666667
(7, 1.0, 0.25): 0.933333333333
(7, 1.0, 0.275): 0.933333333333
(7, 1.0, 0.3): 0.733333333333
(7, 10.0, 0.2): 0.8
(7, 10.0, 0.225): 0.866666666667
(7, 10.0, 0.25): 0.933333333333
(7, 10.0, 0.275): 0.733333333333
(7, 10.0, 0.3): 0.733333333333
(7, 100.0, 0.2): 0.8
(7, 100.0, 0.225): 0.866666666667
(7, 100.0, 0.25): 0.933333333333
(7, 100.0, 0.275): 0.733333333333
(7, 100.0, 0.3): 0.733333333333
(8, 1.0, 0.2): 0.733333333333
(8, 1.0, 0.225): 0.866666666667
(8, 1.0, 0.25): 0.2
(8, 1.0, 0.3): 0.8
(8, 10.0, 0.2): 0.8
(8, 10.0, 0.225): 0.933333333333
(8, 10.0, 0.25): 0.733333333333
(8, 10.0, 0.275): 0.8
(8, 10.0, 0.3): 0.8
(8, 100.0, 0.2): 0.8
(8, 100.0, 0.225): 0.933333333333
(8, 100.0, 0.25): 0.2
(8, 100.0, 0.275): 0.8
(8, 100.0, 0.3): 0.8
(9, 1.0, 0.2): 0.2
(9, 1.0, 0.225): 0.733333333333
(9, 1.0, 0.25): 0.8
(9, 1.0, 0.275): 0.866666666667
(9, 1.0, 0.3): 0.533333333333
(9, 10.0, 0.2): 0.2
(9, 10.0, 0.225): 0.733333333333
(9, 10.0, 0.25): 0.8
(9, 10.0, 0.275): 0.733333333333
(9, 10.0, 0.3): 0.533333333333
(9, 100.0, 0.2): 0.2
(9, 100.0, 0.225): 0.4
(9, 100.0, 0.25): 0.8
(9, 100.0, 0.275): 0.733333333333
(9, 100.0, 0.3): 0.533333333333

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 0.1, 0.3): 0.266666666667
(0, 1.0, 0.2): 0.2
(0, 1.0, 0.225): 0.266666666667
(0, 1.0, 0.25): 0.333333333333
(0, 1.0, 0.275): 0.466666666667
(0, 1.0, 0.3): 0.266666666667
(0, 10.0, 0.2): 0.2
(0, 10.0, 0.225): 0.4
(0, 10.0, 0.25): 0.333333333333
(0, 10.0, 0.275): 0.466666666667
(0, 10.0, 0.3): 0.266666666667
(0, 100.0, 0.2): 0.2
(0, 100.0, 0.225): 0.4
(0, 100.0, 0.25): 0.333333333333
(0, 100.0, 0.275): 0.466666666667
(0, 100.0, 0.3): 0.266666666667
(1, 1.0, 0.2): 0.2
(1, 1.0, 0.225): 0.466666666667
(1, 1.0, 0.25): 0.533333333333
(1, 1.0, 0.275): 0.466666666667
(1, 1.0, 0.3): 0.466666666667
(1, 10.0, 0.2): 0.2
(1, 10.0, 0.225): 0.466666666667
(1, 10.0, 0.25): 0.533333333333
(1, 10.0, 0.275): 0.466666666667
(1, 10.0, 0.3): 0.466666666667
(1, 100.0, 0.2): 0.2
(1, 100.0, 0.225): 0.466666666667
(1, 100.0, 0.25): 0.533333333333
(1, 100.0, 0.275): 0.466666666667
(1, 100.0, 0.3): 0.466666666667
(2, 1.0, 0.2): 0.533333333333
(2, 1.0, 0.225): 0.0666666666667
(2, 1.0, 0.25): 0.2
(2, 1.0, 0.275): 0.2
(2, 1.0, 0.3): 0.266666666667
(2, 10.0, 0.2): 0.2
(2, 10.0, 0.225): 0.0666666666667
(2, 10.0, 0.25): 0.2
(2, 10.0, 0.275): 0.2
(2, 10.0, 0.3): 0.2
(2, 100.0, 0.2): 0.0
(2, 100.0, 0.225): 0.6
(2, 100.0, 0.25): 0.133333333333
(2, 100.0, 0.275): 0.2
(2, 100.0, 0.3): 0.266666666667
(3, 1.0, 0.2): 0.0666666666667
(3, 1.0, 0.225): 0.0
(3, 1.0, 0.25): 0.2
(3, 1.0, 0.275): 0.333333333333
(3, 1.0, 0.3): 0.333333333333
(3, 10.0, 0.2): 0.0666666666667
(3, 10.0, 0.225): 0.0
(3, 10.0, 0.25): 0.2
(3, 10.0, 0.275): 0.333333333333
(3, 10.0, 0.3): 0.333333333333
(3, 100.0, 0.2): 0.0666666666667
(3, 100.0, 0.225): 0.0
(3, 100.0, 0.25): 0.2
(3, 100.0, 0.275): 0.333333333333
(3, 100.0, 0.3): 0.333333333333
(4, 0.1, 0.275): 0.2
(4, 0.1, 0.3): 0.2
(4, 1.0, 0.2): 0.133333333333
(4, 1.0, 0.225): 0.266666666667
(4, 1.0, 0.25): 0.266666666667
(4, 1.0, 0.275): 0.2
(4, 1.0, 0.3): 0.333333333333
(4, 10.0, 0.2): 0.333333333333
(4, 10.0, 0.225): 0.266666666667
(4, 10.0, 0.25): 0.266666666667
(4, 10.0, 0.275): 0.2
(4, 10.0, 0.3): 0.333333333333
(4, 100.0, 0.2): 0.333333333333
(4, 100.0, 0.225): 0.266666666667
(4, 100.0, 0.25): 0.2
(4, 100.0, 0.275): 0.2
(4, 100.0, 0.3): 0.333333333333
(5, 0.1, 0.25): 0.4
(5, 0.1, 0.275): 0.4
(5, 0.1, 0.3): 0.133333333333
(5, 1.0, 0.2): 0.0666666666667
(5, 1.0, 0.225): 0.0666666666667
(5, 1.0, 0.25): 0.4
(5, 1.0, 0.275): 0.2
(5, 1.0, 0.3): 0.733333333333
(5, 10.0, 0.2): 0.133333333333
(5, 10.0, 0.225): 0.133333333333
(5, 10.0, 0.25): 0.4
(5, 10.0, 0.275): 0.2
(5, 10.0, 0.3): 0.4
(5, 100.0, 0.2): 0.133333333333
(5, 100.0, 0.225): 0.0666666666667
(5, 100.0, 0.25): 0.4
(5, 100.0, 0.275): 0.4
(5, 100.0, 0.3): 0.733333333333
(6, 1.0, 0.2): 0.2
(6, 1.0, 0.225): 0.133333333333
(6, 1.0, 0.25): 0.333333333333
(6, 1.0, 0.275): 0.4
(6, 1.0, 0.3): 0.333333333333
(6, 10.0, 0.2): 0.133333333333
(6, 10.0, 0.225): 0.133333333333
(6, 10.0, 0.25): 0.333333333333
(6, 10.0, 0.275): 0.4
(6, 10.0, 0.3): 0.333333333333
(6, 100.0, 0.2): 0.133333333333
(6, 100.0, 0.225): 0.133333333333
(6, 100.0, 0.25): 0.333333333333
(6, 100.0, 0.275): 0.4
(6, 100.0, 0.3): 0.333333333333
(7, 1.0, 0.2): 0.2
(7, 1.0, 0.225): 0.133333333333
(7, 1.0, 0.25): 0.0666666666667
(7, 1.0, 0.275): 0.0666666666667
(7, 1.0, 0.3): 0.266666666667
(7, 10.0, 0.2): 0.2
(7, 10.0, 0.225): 0.133333333333
(7, 10.0, 0.25): 0.0666666666667
(7, 10.0, 0.275): 0.266666666667
(7, 10.0, 0.3): 0.266666666667
(7, 100.0, 0.2): 0.2
(7, 100.0, 0.225): 0.133333333333
(7, 100.0, 0.25): 0.0666666666667
(7, 100.0, 0.275): 0.266666666667
(7, 100.0, 0.3): 0.266666666667
(8, 1.0, 0.2): 0.266666666667
(8, 1.0, 0.225): 0.133333333333
(8, 1.0, 0.25): 0.8
(8, 1.0, 0.3): 0.2
(8, 10.0, 0.2): 0.2
(8, 10.0, 0.225): 0.0666666666667
(8, 10.0, 0.25): 0.266666666667
(8, 10.0, 0.275): 0.2
(8, 10.0, 0.3): 0.2
(8, 100.0, 0.2): 0.2
(8, 100.0, 0.225): 0.0666666666667
(8, 100.0, 0.25): 0.8
(8, 100.0, 0.275): 0.2
(8, 100.0, 0.3): 0.2
(9, 1.0, 0.2): 0.8
(9, 1.0, 0.225): 0.266666666667
(9, 1.0, 0.25): 0.2
(9, 1.0, 0.275): 0.133333333333
(9, 1.0, 0.3): 0.466666666667
