Binary Muzzifier_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: True
Force the labels to be always represent by a cluster: True

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(2, 1.0, 0.225): 0.8
(2, 1.0, 0.25): 0.733333333333
(2, 1.0, 0.275): 0.733333333333
(2, 10.0, 0.2): 0.933333333333
(2, 10.0, 0.225): 0.8
(2, 10.0, 0.25): 0.733333333333
(2, 10.0, 0.275): 0.733333333333
(2, 100.0, 0.2): 0.933333333333
(2, 100.0, 0.225): 0.8
(2, 100.0, 0.25): 0.733333333333
(2, 100.0, 0.275): 0.733333333333
(3, 1.0, 0.2): 0.933333333333
(3, 1.0, 0.225): 0.733333333333
(3, 1.0, 0.25): 0.733333333333
(3, 1.0, 0.275): 0.733333333333
(3, 1.0, 0.3): 0.733333333333
(3, 10.0, 0.2): 0.933333333333
(3, 10.0, 0.225): 0.733333333333
(3, 10.0, 0.25): 0.733333333333
(3, 10.0, 0.3): 0.733333333333
(3, 100.0, 0.2): 0.933333333333
(3, 100.0, 0.225): 0.733333333333
(3, 100.0, 0.25): 0.733333333333
(3, 100.0, 0.275): 0.733333333333
(3, 100.0, 0.3): 0.733333333333
(4, 0.1, 0.225): 0.933333333333
(4, 1.0, 0.2): 0.933333333333
(4, 1.0, 0.225): 0.8
(4, 1.0, 0.25): 0.8
(4, 1.0, 0.275): 0.733333333333
(4, 1.0, 0.3): 0.666666666667
(4, 10.0, 0.2): 0.733333333333
(4, 10.0, 0.225): 0.8
(4, 10.0, 0.25): 0.8
(4, 10.0, 0.275): 0.866666666667
(4, 10.0, 0.3): 0.666666666667
(4, 100.0, 0.2): 0.733333333333
(4, 100.0, 0.225): 0.8
(4, 100.0, 0.25): 0.8
(4, 100.0, 0.275): 0.866666666667
(4, 100.0, 0.3): 0.666666666667
(5, 1.0, 0.2): 0.933333333333
(5, 1.0, 0.225): 0.866666666667
(5, 1.0, 0.25): 0.866666666667
(5, 1.0, 0.3): 0.933333333333
(5, 10.0, 0.2): 0.933333333333
(5, 10.0, 0.225): 0.866666666667
(5, 10.0, 0.25): 0.466666666667
(5, 10.0, 0.3): 0.933333333333
(5, 100.0, 0.2): 0.866666666667
(5, 100.0, 0.225): 0.4
(5, 100.0, 0.25): 0.466666666667
(5, 100.0, 0.275): 0.6
(5, 100.0, 0.3): 0.933333333333
(6, 1.0, 0.2): 0.8
(6, 1.0, 0.225): 0.8
(6, 1.0, 0.25): 0.733333333333
(6, 1.0, 0.275): 0.733333333333
(6, 10.0, 0.2): 0.8
(6, 10.0, 0.225): 0.8
(6, 10.0, 0.25): 0.733333333333
(6, 10.0, 0.275): 0.733333333333
(6, 100.0, 0.2): 0.8
(6, 100.0, 0.25): 0.733333333333
(6, 100.0, 0.275): 0.733333333333
(7, 1.0, 0.225): 0.733333333333
(7, 1.0, 0.25): 0.866666666667
(7, 1.0, 0.275): 0.733333333333
(7, 1.0, 0.3): 0.733333333333
(7, 10.0, 0.225): 0.733333333333
(7, 10.0, 0.25): 0.866666666667
(7, 10.0, 0.275): 0.733333333333
(7, 10.0, 0.3): 0.733333333333
(7, 100.0, 0.2): 0.666666666667
(7, 100.0, 0.225): 0.733333333333
(7, 100.0, 0.25): 0.866666666667
(7, 100.0, 0.275): 0.733333333333
(7, 100.0, 0.3): 0.733333333333
(8, 1.0, 0.2): 0.8
(8, 1.0, 0.225): 0.733333333333
(8, 1.0, 0.25): 0.733333333333
(8, 1.0, 0.275): 0.733333333333
(8, 1.0, 0.3): 0.866666666667
(8, 10.0, 0.2): 0.8
(8, 10.0, 0.225): 0.733333333333
(8, 10.0, 0.25): 0.733333333333
(8, 10.0, 0.3): 0.866666666667
(8, 100.0, 0.2): 0.8
(8, 100.0, 0.225): 0.733333333333
(8, 100.0, 0.25): 0.733333333333
(8, 100.0, 0.3): 0.866666666667
(9, 1.0, 0.2): 0.866666666667
(9, 1.0, 0.225): 0.866666666667
(9, 1.0, 0.25): 0.866666666667
(9, 1.0, 0.275): 0.666666666667
(9, 1.0, 0.3): 0.666666666667
(9, 10.0, 0.2): 0.866666666667
(9, 10.0, 0.225): 0.866666666667
(9, 10.0, 0.25): 0.866666666667
(9, 10.0, 0.275): 0.666666666667
(9, 10.0, 0.3): 0.666666666667
(9, 100.0, 0.2): 0.866666666667
(9, 100.0, 0.225): 0.866666666667
(9, 100.0, 0.25): 0.866666666667
(9, 100.0, 0.275): 0.666666666667
(9, 100.0, 0.3): 0.666666666667

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 0.1, 0.225): 0.266666666667
(0, 1.0, 0.2): 0.266666666667
(0, 1.0, 0.225): 0.266666666667
(0, 1.0, 0.25): 0.2
(0, 1.0, 0.275): 0.2
(0, 1.0, 0.3): 0.266666666667
(0, 10.0, 0.2): 0.266666666667
(0, 10.0, 0.225): 0.266666666667
(0, 10.0, 0.25): 0.2
(0, 10.0, 0.275): 0.2
(0, 10.0, 0.3): 0.266666666667
(0, 100.0, 0.2): 0.266666666667
(0, 100.0, 0.225): 0.266666666667
(0, 100.0, 0.25): 0.2
(0, 100.0, 0.275): 0.2
(0, 100.0, 0.3): 0.266666666667
(1, 1.0, 0.2): 0.266666666667
(1, 1.0, 0.225): 0.2
(1, 1.0, 0.25): 0.133333333333
(1, 1.0, 0.275): 0.133333333333
(1, 1.0, 0.3): 0.133333333333
(1, 10.0, 0.2): 0.333333333333
(1, 10.0, 0.225): 0.2
(1, 10.0, 0.25): 0.133333333333
(1, 10.0, 0.275): 0.133333333333
(1, 10.0, 0.3): 0.133333333333
(1, 100.0, 0.2): 0.333333333333
(1, 100.0, 0.225): 0.2
(1, 100.0, 0.25): 0.2
(1, 100.0, 0.275): 0.133333333333
(1, 100.0, 0.3): 0.133333333333
(2, 1.0, 0.2): 0.0666666666667
(2, 1.0, 0.225): 0.2
(2, 1.0, 0.25): 0.266666666667
(2, 1.0, 0.275): 0.266666666667
(2, 10.0, 0.2): 0.0666666666667
(2, 10.0, 0.225): 0.2
(2, 10.0, 0.25): 0.266666666667
(2, 10.0, 0.275): 0.266666666667
(2, 100.0, 0.2): 0.0666666666667
(2, 100.0, 0.225): 0.2
(2, 100.0, 0.25): 0.266666666667
(2, 100.0, 0.275): 0.266666666667
(3, 1.0, 0.2): 0.0666666666667
(3, 1.0, 0.225): 0.266666666667
(3, 1.0, 0.25): 0.266666666667
(3, 1.0, 0.275): 0.266666666667
(3, 1.0, 0.3): 0.266666666667
(3, 10.0, 0.2): 0.0666666666667
(3, 10.0, 0.225): 0.266666666667
(3, 10.0, 0.25): 0.266666666667
(3, 10.0, 0.3): 0.266666666667
(3, 100.0, 0.2): 0.0666666666667
(3, 100.0, 0.225): 0.266666666667
(3, 100.0, 0.25): 0.266666666667
(3, 100.0, 0.275): 0.266666666667
(3, 100.0, 0.3): 0.266666666667
(4, 0.1, 0.225): 0.0666666666667
(4, 1.0, 0.2): 0.0666666666667
(4, 1.0, 0.225): 0.2
(4, 1.0, 0.25): 0.2
(4, 1.0, 0.275): 0.266666666667
(4, 1.0, 0.3): 0.333333333333
(4, 10.0, 0.2): 0.266666666667
(4, 10.0, 0.225): 0.2
(4, 10.0, 0.25): 0.2
(4, 10.0, 0.275): 0.133333333333
(4, 10.0, 0.3): 0.333333333333
(4, 100.0, 0.2): 0.266666666667
(4, 100.0, 0.225): 0.2
(4, 100.0, 0.25): 0.2
(4, 100.0, 0.275): 0.133333333333
(4, 100.0, 0.3): 0.333333333333
(5, 1.0, 0.2): 0.0666666666667
(5, 1.0, 0.225): 0.133333333333
(5, 1.0, 0.25): 0.133333333333
(5, 1.0, 0.3): 0.0666666666667
(5, 10.0, 0.2): 0.0666666666667
(5, 10.0, 0.225): 0.133333333333
(5, 10.0, 0.25): 0.533333333333
(5, 10.0, 0.3): 0.0666666666667
(5, 100.0, 0.2): 0.133333333333
(5, 100.0, 0.225): 0.6
(5, 100.0, 0.25): 0.533333333333
(5, 100.0, 0.275): 0.4
(5, 100.0, 0.3): 0.0666666666667
(6, 1.0, 0.2): 0.2
(6, 1.0, 0.225): 0.2
(6, 1.0, 0.25): 0.266666666667
(6, 1.0, 0.275): 0.266666666667
(6, 10.0, 0.2): 0.2
(6, 10.0, 0.225): 0.2
(6, 10.0, 0.25): 0.266666666667
(6, 10.0, 0.275): 0.266666666667
(6, 100.0, 0.2): 0.2
(6, 100.0, 0.25): 0.266666666667
(6, 100.0, 0.275): 0.266666666667
(7, 1.0, 0.225): 0.266666666667
(7, 1.0, 0.25): 0.133333333333
(7, 1.0, 0.275): 0.266666666667
(7, 1.0, 0.3): 0.266666666667
(7, 10.0, 0.225): 0.266666666667
(7, 10.0, 0.25): 0.133333333333
(7, 10.0, 0.275): 0.266666666667
(7, 10.0, 0.3): 0.266666666667
(7, 100.0, 0.2): 0.333333333333
(7, 100.0, 0.225): 0.266666666667
(7, 100.0, 0.25): 0.133333333333
(7, 100.0, 0.275): 0.266666666667
(7, 100.0, 0.3): 0.266666666667
(8, 1.0, 0.2): 0.2
(8, 1.0, 0.225): 0.266666666667
(8, 1.0, 0.25): 0.266666666667
(8, 1.0, 0.275): 0.266666666667
(8, 1.0, 0.3): 0.133333333333
(8, 10.0, 0.2): 0.2
(8, 10.0, 0.225): 0.266666666667
(8, 10.0, 0.25): 0.266666666667
(8, 10.0, 0.3): 0.133333333333
(8, 100.0, 0.2): 0.2
(8, 100.0, 0.225): 0.266666666667
(8, 100.0, 0.25): 0.266666666667
(8, 100.0, 0.3): 0.133333333333
(9, 1.0, 0.2): 0.133333333333
(9, 1.0, 0.225): 0.133333333333
(9, 1.0, 0.25): 0.133333333333
(9, 1.0, 0.275): 0.333333333333
(9, 1.0, 0.3): 0.333333333333
(9, 10.0, 0.2): 0.133333333333
(9, 10.0, 0.225): 0.133333333333
(9, 10.0, 0.25): 0.133333333333
(9, 10.0, 0.275): 0.333333333333
(9, 10.0, 0.3): 0.333333333333
(9, 100.0, 0.2): 0.133333333333
(9, 100.0, 0.225): 0.133333333333
(9, 100.0, 0.25): 0.133333333333
(9, 100.0, 0.275): 0.333333333333
(9, 100.0, 0.3): 0.333333333333

Accuracy mean :0.7801932367149759
Std deviation :0.09235143277839576
Loss mean :0.21980676328502416
Std deviation :0.09235143277839575



Linear Muzzifier_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.2   0.225 0.25  0.275 0.3  ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Linear Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: True
Force the labels to be always represent by a cluster: True

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.225): 0.933333333333
(1, 10.0, 0.2): 0.866666666667
(2, 100.0, 0.2): 0.533333333333
(3, 100.0, 0.2): 0.866666666667
(4, 10.0, 0.275): 0.533333333333
(5, 10.0, 0.275): 0.8
(6, 10.0, 0.2): 0.733333333333
(7, 1.0, 0.2): 0.866666666667
(8, 10.0, 0.225): 0.933333333333
(9, 10.0, 0.25): 0.733333333333

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.225): 0.0666666666667
(1, 10.0, 0.2): 0.133333333333
(2, 100.0, 0.2): 0.466666666667
(3, 100.0, 0.2): 0.133333333333
(4, 10.0, 0.275): 0.466666666667
(5, 10.0, 0.275): 0.2
(6, 10.0, 0.2): 0.266666666667
(7, 1.0, 0.2): 0.133333333333
(8, 10.0, 0.225): 0.0666666666667
(9, 10.0, 0.25): 0.266666666667

Accuracy mean :0.78
Std deviation :0.14
Loss mean :0.21999999999999997
Std deviation :0.14

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 10.0, 0.225): 0.866666666667
(1, 10.0, 0.2): 0.866666666667
(2, 100.0, 0.2): 0.874074074074
(3, 100.0, 0.2): 0.82962962963
(4, 10.0, 0.275): 0.696296296296
(5, 10.0, 0.275): 0.866666666667
(6, 10.0, 0.2): 0.844444444444
(7, 1.0, 0.2): 0.822222222222
(8, 10.0, 0.225): 0.82962962963
(9, 10.0, 0.25): 0.859259259259
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.225): 0.133333333333
(1, 10.0, 0.2): 0.133333333333
(2, 100.0, 0.2): 0.125925925926
(3, 100.0, 0.2): 0.17037037037
(4, 10.0, 0.275): 0.303703703704
(5, 10.0, 0.275): 0.133333333333
(6, 10.0, 0.2): 0.155555555556
(7, 1.0, 0.2): 0.177777777778
(8, 10.0, 0.225): 0.17037037037
(9, 10.0, 0.25): 0.140740740741

Accuracy mean :0.8355555555555556
Std deviation :0.04966830996811915
Loss mean :0.16444444444444445
Std deviation :0.04966830996811915

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 1.0, 0.2): 0.866666666667
(0, 1.0, 0.225): 0.866666666667
(0, 1.0, 0.25): 0.733333333333
(0, 10.0, 0.225): 0.866666666667
(0, 10.0, 0.25): 0.8
(0, 100.0, 0.225): 0.8
(0, 100.0, 0.25): 0.8
(0, 100.0, 0.3): 0.8
(1, 1.0, 0.2): 0.733333333333
(1, 1.0, 0.225): 0.6
(1, 1.0, 0.25): 0.733333333333
(1, 1.0, 0.3): 0.6
(1, 10.0, 0.2): 0.733333333333
(1, 10.0, 0.225): 0.6
(1, 10.0, 0.25): 0.733333333333
(1, 10.0, 0.275): 0.533333333333
(1, 10.0, 0.3): 0.466666666667
(1, 100.0, 0.2): 0.733333333333
(1, 100.0, 0.225): 0.6
(1, 100.0, 0.25): 0.666666666667
(1, 100.0, 0.275): 0.4
(1, 100.0, 0.3): 0.666666666667
(2, 1.0, 0.2): 0.866666666667
(2, 1.0, 0.225): 0.733333333333
(2, 1.0, 0.25): 0.733333333333
(2, 1.0, 0.275): 0.733333333333
(2, 1.0, 0.3): 0.866666666667
(2, 10.0, 0.2): 0.933333333333
(2, 10.0, 0.225): 0.733333333333
(2, 10.0, 0.25): 0.733333333333
(2, 10.0, 0.275): 0.8
(2, 10.0, 0.3): 0.733333333333
(2, 100.0, 0.2): 1.0
(2, 100.0, 0.225): 0.866666666667
(2, 100.0, 0.25): 0.8
(2, 100.0, 0.275): 0.733333333333
(2, 100.0, 0.3): 0.533333333333
(3, 0.1, 0.225): 0.866666666667
(3, 1.0, 0.2): 0.8
(3, 1.0, 0.225): 0.8
(3, 1.0, 0.25): 0.533333333333
(3, 1.0, 0.275): 0.6
(3, 10.0, 0.2): 0.733333333333
(3, 10.0, 0.225): 0.733333333333
(3, 10.0, 0.25): 0.6
(3, 10.0, 0.275): 0.6
(3, 100.0, 0.2): 0.933333333333
(3, 100.0, 0.225): 0.8
(3, 100.0, 0.25): 0.666666666667
(3, 100.0, 0.275): 0.666666666667
(4, 1.0, 0.2): 0.8
(4, 1.0, 0.225): 0.666666666667
(4, 1.0, 0.25): 1.0
(4, 1.0, 0.275): 1.0
(4, 1.0, 0.3): 0.8
(4, 10.0, 0.2): 0.8
(4, 10.0, 0.225): 0.866666666667
(4, 10.0, 0.25): 0.8
(4, 10.0, 0.275): 1.0
(4, 10.0, 0.3): 0.733333333333
(4, 100.0, 0.2): 0.866666666667
(4, 100.0, 0.225): 0.533333333333
(4, 100.0, 0.25): 0.466666666667
(4, 100.0, 0.275): 0.866666666667
(4, 100.0, 0.3): 0.733333333333
(5, 1.0, 0.2): 0.933333333333
(5, 1.0, 0.225): 0.933333333333
(5, 1.0, 0.25): 1.0
(5, 1.0, 0.275): 1.0
(5, 10.0, 0.2): 1.0
(5, 10.0, 0.225): 0.933333333333
(5, 10.0, 0.25): 1.0
(5, 10.0, 0.275): 1.0
(5, 100.0, 0.225): 0.933333333333
(5, 100.0, 0.25): 0.933333333333
(5, 100.0, 0.275): 0.866666666667
(5, 100.0, 0.3): 0.666666666667
(6, 1.0, 0.2): 0.933333333333
(6, 1.0, 0.225): 0.6
(6, 10.0, 0.2): 1.0
(6, 10.0, 0.225): 0.733333333333
(6, 10.0, 0.275): 0.666666666667
(6, 10.0, 0.3): 0.733333333333
(6, 100.0, 0.2): 0.933333333333
(6, 100.0, 0.225): 0.666666666667
(6, 100.0, 0.275): 0.733333333333
(6, 100.0, 0.3): 0.8
(7, 1.0, 0.2): 1.0
(7, 1.0, 0.225): 1.0
(7, 1.0, 0.25): 1.0
(7, 1.0, 0.275): 0.933333333333
(7, 1.0, 0.3): 0.4
(7, 10.0, 0.2): 1.0
(7, 10.0, 0.225): 0.933333333333
(7, 10.0, 0.25): 0.933333333333
(7, 10.0, 0.275): 0.933333333333
(7, 100.0, 0.2): 0.933333333333
(7, 100.0, 0.225): 0.866666666667
(7, 100.0, 0.25): 0.933333333333
(7, 100.0, 0.275): 0.866666666667
(8, 1.0, 0.2): 0.733333333333
(8, 1.0, 0.225): 0.733333333333
(8, 1.0, 0.25): 0.733333333333
(8, 1.0, 0.275): 0.733333333333
(8, 1.0, 0.3): 0.666666666667
(8, 10.0, 0.2): 0.733333333333
(8, 10.0, 0.225): 0.866666666667
(8, 10.0, 0.25): 0.8
(8, 10.0, 0.275): 0.8
(8, 10.0, 0.3): 0.733333333333
(8, 100.0, 0.2): 0.733333333333
(8, 100.0, 0.225): 0.866666666667
(8, 100.0, 0.25): 0.666666666667
(8, 100.0, 0.275): 0.733333333333
(8, 100.0, 0.3): 0.666666666667
(9, 1.0, 0.225): 0.8
(9, 1.0, 0.25): 0.8
(9, 1.0, 0.275): 0.8
(9, 1.0, 0.3): 0.8
(9, 10.0, 0.225): 0.8
(9, 10.0, 0.25): 0.933333333333
(9, 10.0, 0.275): 0.8
(9, 10.0, 0.3): 0.866666666667
(9, 100.0, 0.225): 0.8
(9, 100.0, 0.25): 0.666666666667
(9, 100.0, 0.275): 0.733333333333
(9, 100.0, 0.3): 0.866666666667

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.133333333333
(0, 1.0, 0.225): 0.133333333333
(0, 1.0, 0.25): 0.266666666667
(0, 10.0, 0.225): 0.133333333333
(0, 10.0, 0.25): 0.2
(0, 100.0, 0.225): 0.2
(0, 100.0, 0.25): 0.2
(0, 100.0, 0.3): 0.2
(1, 1.0, 0.2): 0.266666666667
(1, 1.0, 0.225): 0.4
(1, 1.0, 0.25): 0.266666666667
(1, 1.0, 0.3): 0.4
(1, 10.0, 0.2): 0.266666666667
(1, 10.0, 0.225): 0.4
(1, 10.0, 0.25): 0.266666666667
(1, 10.0, 0.275): 0.466666666667
(1, 10.0, 0.3): 0.533333333333
(1, 100.0, 0.2): 0.266666666667
(1, 100.0, 0.225): 0.4
(1, 100.0, 0.25): 0.333333333333
(1, 100.0, 0.275): 0.6
(1, 100.0, 0.3): 0.333333333333
(2, 1.0, 0.2): 0.133333333333
(2, 1.0, 0.225): 0.266666666667
(2, 1.0, 0.25): 0.266666666667
(2, 1.0, 0.275): 0.266666666667
(2, 1.0, 0.3): 0.133333333333
(2, 10.0, 0.2): 0.0666666666667
(2, 10.0, 0.225): 0.266666666667
(2, 10.0, 0.25): 0.266666666667
(2, 10.0, 0.275): 0.2
(2, 10.0, 0.3): 0.266666666667
(2, 100.0, 0.2): 0.0
(2, 100.0, 0.225): 0.133333333333
(2, 100.0, 0.25): 0.2
(2, 100.0, 0.275): 0.266666666667
(2, 100.0, 0.3): 0.466666666667
(3, 0.1, 0.225): 0.133333333333
(3, 1.0, 0.2): 0.2
(3, 1.0, 0.225): 0.2
(3, 1.0, 0.25): 0.466666666667
(3, 1.0, 0.275): 0.4
(3, 10.0, 0.2): 0.266666666667
(3, 10.0, 0.225): 0.266666666667
(3, 10.0, 0.25): 0.4
(3, 10.0, 0.275): 0.4
(3, 100.0, 0.2): 0.0666666666667
(3, 100.0, 0.225): 0.2
(3, 100.0, 0.25): 0.333333333333
(3, 100.0, 0.275): 0.333333333333
(4, 1.0, 0.2): 0.2
(4, 1.0, 0.225): 0.333333333333
(4, 1.0, 0.25): 0.0
(4, 1.0, 0.275): 0.0
(4, 1.0, 0.3): 0.2
(4, 10.0, 0.2): 0.2
(4, 10.0, 0.225): 0.133333333333
(4, 10.0, 0.25): 0.2
(4, 10.0, 0.275): 0.0
(4, 10.0, 0.3): 0.266666666667
(4, 100.0, 0.2): 0.133333333333
(4, 100.0, 0.225): 0.466666666667
(4, 100.0, 0.25): 0.533333333333
(4, 100.0, 0.275): 0.133333333333
(4, 100.0, 0.3): 0.266666666667
(5, 1.0, 0.2): 0.0666666666667
(5, 1.0, 0.225): 0.0666666666667
(5, 1.0, 0.25): 0.0
(5, 1.0, 0.275): 0.0
(5, 10.0, 0.2): 0.0
(5, 10.0, 0.225): 0.0666666666667
(5, 10.0, 0.25): 0.0
(5, 10.0, 0.275): 0.0
(5, 100.0, 0.225): 0.0666666666667
(5, 100.0, 0.25): 0.0666666666667
(5, 100.0, 0.275): 0.133333333333
(5, 100.0, 0.3): 0.333333333333
(6, 1.0, 0.2): 0.0666666666667
(6, 1.0, 0.225): 0.4
(6, 10.0, 0.2): 0.0
(6, 10.0, 0.225): 0.266666666667
(6, 10.0, 0.275): 0.333333333333
(6, 10.0, 0.3): 0.266666666667
(6, 100.0, 0.2): 0.0666666666667
(6, 100.0, 0.225): 0.333333333333
(6, 100.0, 0.275): 0.266666666667
(6, 100.0, 0.3): 0.2
(7, 1.0, 0.2): 0.0
(7, 1.0, 0.225): 0.0
(7, 1.0, 0.25): 0.0
(7, 1.0, 0.275): 0.0666666666667
(7, 1.0, 0.3): 0.6
(7, 10.0, 0.2): 0.0
(7, 10.0, 0.225): 0.0666666666667
(7, 10.0, 0.25): 0.0666666666667
(7, 10.0, 0.275): 0.0666666666667
(7, 100.0, 0.2): 0.0666666666667
(7, 100.0, 0.225): 0.133333333333
(7, 100.0, 0.25): 0.0666666666667
(7, 100.0, 0.275): 0.133333333333
(8, 1.0, 0.2): 0.266666666667
(8, 1.0, 0.225): 0.266666666667
(8, 1.0, 0.25): 0.266666666667
(8, 1.0, 0.275): 0.266666666667
(8, 1.0, 0.3): 0.333333333333
(8, 10.0, 0.2): 0.266666666667
(8, 10.0, 0.225): 0.133333333333
(8, 10.0, 0.25): 0.2
(8, 10.0, 0.275): 0.2
(8, 10.0, 0.3): 0.266666666667
(8, 100.0, 0.2): 0.266666666667
(8, 100.0, 0.225): 0.133333333333
(8, 100.0, 0.25): 0.333333333333
(8, 100.0, 0.275): 0.266666666667
(8, 100.0, 0.3): 0.333333333333
(9, 1.0, 0.225): 0.2
(9, 1.0, 0.25): 0.2
(9, 1.0, 0.275): 0.2
(9, 1.0, 0.3): 0.2
(9, 10.0, 0.225): 0.2
(9, 10.0, 0.25): 0.0666666666667
(9, 10.0, 0.275): 0.2
(9, 10.0, 0.3): 0.133333333333
(9, 100.0, 0.225): 0.2
(9, 100.0, 0.25): 0.333333333333
(9, 100.0, 0.275): 0.266666666667
(9, 100.0, 0.3): 0.133333333333

Accuracy mean :0.7874015748031497
Std deviation :0.13714557495205076
Loss mean :0.21259842519685038
Std deviation :0.13714557495205074



