Binary Muzzifier_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.05 0.1  0.2  0.3 ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(1, 10.0, 0.1): 0.733333333333
(1, 10.0, 0.2): 0.266666666667
(1, 10.0, 0.3): 0.266666666667
(1, 100.0, 0.1): 0.733333333333
(1, 100.0, 0.2): 0.266666666667
(1, 100.0, 0.3): 0.266666666667
(2, 1.0, 0.1): 0.8
(2, 1.0, 0.2): 0.933333333333
(2, 1.0, 0.3): 0.733333333333
(2, 10.0, 0.1): 0.866666666667
(2, 10.0, 0.2): 0.933333333333
(2, 10.0, 0.3): 0.733333333333
(2, 100.0, 0.1): 0.866666666667
(2, 100.0, 0.2): 0.933333333333
(2, 100.0, 0.3): 0.733333333333
(3, 0.1, 0.3): 0.666666666667
(3, 1.0, 0.1): 0.533333333333
(3, 1.0, 0.2): 1.0
(3, 1.0, 0.3): 0.666666666667
(3, 10.0, 0.2): 1.0
(3, 10.0, 0.3): 0.666666666667
(3, 100.0, 0.1): 0.2
(3, 100.0, 0.2): 1.0
(3, 100.0, 0.3): 0.666666666667
(4, 1.0, 0.2): 0.866666666667
(4, 1.0, 0.3): 0.533333333333
(4, 10.0, 0.1): 0.4
(4, 10.0, 0.2): 0.866666666667
(4, 10.0, 0.3): 0.333333333333
(4, 100.0, 0.1): 0.4
(4, 100.0, 0.2): 0.866666666667
(4, 100.0, 0.3): 0.533333333333
(5, 1.0, 0.1): 0.8
(5, 1.0, 0.2): 0.666666666667
(5, 1.0, 0.3): 0.6
(5, 10.0, 0.1): 0.666666666667
(5, 10.0, 0.2): 0.866666666667
(5, 10.0, 0.3): 0.2
(5, 100.0, 0.1): 0.8
(5, 100.0, 0.2): 0.866666666667
(5, 100.0, 0.3): 0.6
(6, 1.0, 0.1): 0.666666666667
(6, 1.0, 0.2): 0.733333333333
(6, 1.0, 0.3): 0.666666666667
(6, 10.0, 0.1): 0.666666666667
(6, 10.0, 0.2): 0.733333333333
(6, 10.0, 0.3): 0.666666666667
(6, 100.0, 0.1): 0.666666666667
(6, 100.0, 0.2): 0.733333333333
(6, 100.0, 0.3): 0.666666666667
(7, 0.1, 0.3): 0.466666666667
(7, 1.0, 0.1): 0.6
(7, 1.0, 0.2): 0.866666666667
(7, 1.0, 0.3): 0.533333333333
(7, 10.0, 0.1): 0.733333333333
(7, 10.0, 0.2): 0.866666666667
(7, 10.0, 0.3): 0.533333333333
(7, 100.0, 0.1): 0.666666666667
(7, 100.0, 0.2): 0.866666666667
(7, 100.0, 0.3): 0.533333333333
(8, 1.0, 0.2): 0.8
(8, 1.0, 0.3): 0.733333333333
(8, 10.0, 0.2): 0.666666666667
(8, 10.0, 0.3): 0.733333333333
(8, 100.0, 0.2): 0.333333333333
(8, 100.0, 0.3): 0.733333333333
(9, 1.0, 0.1): 0.866666666667
(9, 1.0, 0.2): 0.933333333333
(9, 1.0, 0.3): 0.2
(9, 10.0, 0.1): 0.933333333333
(9, 10.0, 0.2): 0.933333333333
(9, 10.0, 0.3): 0.2
(9, 100.0, 0.1): 0.866666666667
(9, 100.0, 0.2): 0.933333333333
(9, 100.0, 0.3): 0.2

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 0.1, 0.3): 0.866666666667
(0, 1.0, 0.1): 0.6
(0, 1.0, 0.2): 0.266666666667
(0, 1.0, 0.3): 0.866666666667
(0, 10.0, 0.1): 0.533333333333
(0, 10.0, 0.2): 0.266666666667
(0, 10.0, 0.3): 0.866666666667
(0, 100.0, 0.1): 0.666666666667
(0, 100.0, 0.2): 0.266666666667
(0, 100.0, 0.3): 0.866666666667
(1, 1.0, 0.1): 0.0666666666667
(1, 1.0, 0.2): 0.733333333333
(1, 1.0, 0.3): 0.733333333333
(1, 10.0, 0.1): 0.266666666667
(1, 10.0, 0.2): 0.733333333333
(1, 10.0, 0.3): 0.733333333333
(1, 100.0, 0.1): 0.266666666667
(1, 100.0, 0.2): 0.733333333333
(1, 100.0, 0.3): 0.733333333333
(2, 1.0, 0.1): 0.2
(2, 1.0, 0.2): 0.0666666666667
(2, 1.0, 0.3): 0.266666666667
(2, 10.0, 0.1): 0.133333333333
(2, 10.0, 0.2): 0.0666666666667
(2, 10.0, 0.3): 0.266666666667
(2, 100.0, 0.1): 0.133333333333
(2, 100.0, 0.2): 0.0666666666667
(2, 100.0, 0.3): 0.266666666667
(3, 0.1, 0.3): 0.333333333333
(3, 1.0, 0.1): 0.466666666667
(3, 1.0, 0.2): 0.0
(3, 1.0, 0.3): 0.333333333333
(3, 10.0, 0.2): 0.0
(3, 10.0, 0.3): 0.333333333333
(3, 100.0, 0.1): 0.8
(3, 100.0, 0.2): 0.0
(3, 100.0, 0.3): 0.333333333333
(4, 1.0, 0.2): 0.133333333333
(4, 1.0, 0.3): 0.466666666667
(4, 10.0, 0.1): 0.6
(4, 10.0, 0.2): 0.133333333333
(4, 10.0, 0.3): 0.666666666667
(4, 100.0, 0.1): 0.6
(4, 100.0, 0.2): 0.133333333333
(4, 100.0, 0.3): 0.466666666667
(5, 1.0, 0.1): 0.2
(5, 1.0, 0.2): 0.333333333333
(5, 1.0, 0.3): 0.4
(5, 10.0, 0.1): 0.333333333333
(5, 10.0, 0.2): 0.133333333333
(5, 10.0, 0.3): 0.8
(5, 100.0, 0.1): 0.2
(5, 100.0, 0.2): 0.133333333333
(5, 100.0, 0.3): 0.4
(6, 1.0, 0.1): 0.333333333333
(6, 1.0, 0.2): 0.266666666667
(6, 1.0, 0.3): 0.333333333333
(6, 10.0, 0.1): 0.333333333333
(6, 10.0, 0.2): 0.266666666667
(6, 10.0, 0.3): 0.333333333333
(6, 100.0, 0.1): 0.333333333333
(6, 100.0, 0.2): 0.266666666667
(6, 100.0, 0.3): 0.333333333333
(7, 0.1, 0.3): 0.533333333333
(7, 1.0, 0.1): 0.4
(7, 1.0, 0.2): 0.133333333333
(7, 1.0, 0.3): 0.466666666667
(7, 10.0, 0.1): 0.266666666667
(7, 10.0, 0.2): 0.133333333333
(7, 10.0, 0.3): 0.466666666667
(7, 100.0, 0.1): 0.333333333333
(7, 100.0, 0.2): 0.133333333333
(7, 100.0, 0.3): 0.466666666667
(8, 1.0, 0.2): 0.2
(8, 1.0, 0.3): 0.266666666667
(8, 10.0, 0.2): 0.333333333333
(8, 10.0, 0.3): 0.266666666667
(8, 100.0, 0.2): 0.666666666667
(8, 100.0, 0.3): 0.266666666667
(9, 1.0, 0.1): 0.133333333333
(9, 1.0, 0.2): 0.0666666666667
(9, 1.0, 0.3): 0.8
(9, 10.0, 0.1): 0.0666666666667
(9, 10.0, 0.2): 0.0666666666667
(9, 10.0, 0.3): 0.8
(9, 100.0, 0.1): 0.133333333333
(9, 100.0, 0.2): 0.0666666666667
(9, 100.0, 0.3): 0.8

Accuracy mean :0.6325757575757577
Std deviation :0.2465917818724954
Loss mean :0.36742424242424243
Std deviation :0.2465917818724954



Linear Muzzifier_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.05 0.1  0.2  0.3 ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Linear Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 1.0
(1, 1.0, 0.2): 0.933333333333
(2, 100.0, 0.2): 0.6
(3, 100.0, 0.1): 0.733333333333
(4, 1.0, 0.2): 0.733333333333
(5, 1.0, 0.2): 0.8
(6, 10.0, 0.2): 0.933333333333
(7, 1.0, 0.2): 0.933333333333
(8, 100.0, 0.1): 0.8
(9, 100.0, 0.1): 0.666666666667

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.0
(1, 1.0, 0.2): 0.0666666666667
(2, 100.0, 0.2): 0.4
(3, 100.0, 0.1): 0.266666666667
(4, 1.0, 0.2): 0.266666666667
(5, 1.0, 0.2): 0.2
(6, 10.0, 0.2): 0.0666666666667
(7, 1.0, 0.2): 0.0666666666667
(8, 100.0, 0.1): 0.2
(9, 100.0, 0.1): 0.333333333333

Accuracy mean :0.8133333333333332
Std deviation :0.12578641509408808
Loss mean :0.18666666666666668
Std deviation :0.12578641509408806

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 1.0, 0.2): 0.859259259259
(1, 1.0, 0.2): 0.874074074074
(2, 100.0, 0.2): 0.385185185185
(3, 100.0, 0.1): 0.748148148148
(4, 1.0, 0.2): 0.896296296296
(5, 1.0, 0.2): 0.837037037037
(6, 10.0, 0.2): 0.866666666667
(7, 1.0, 0.2): 0.874074074074
(8, 100.0, 0.1): 0.733333333333
(9, 100.0, 0.1): 0.807407407407
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.140740740741
(1, 1.0, 0.2): 0.125925925926
(2, 100.0, 0.2): 0.614814814815
(3, 100.0, 0.1): 0.251851851852
(4, 1.0, 0.2): 0.103703703704
(5, 1.0, 0.2): 0.162962962963
(6, 10.0, 0.2): 0.133333333333
(7, 1.0, 0.2): 0.125925925926
(8, 100.0, 0.1): 0.266666666667
(9, 100.0, 0.1): 0.192592592593

Accuracy mean :0.7881481481481482
Std deviation :0.14402407968156128
Loss mean :0.21185185185185187
Std deviation :0.14402407968156128

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 1.0, 0.2): 0.933333333333
(0, 1.0, 0.3): 0.666666666667
(0, 10.0, 0.2): 0.933333333333
(0, 10.0, 0.3): 0.6
(0, 100.0, 0.2): 0.933333333333
(0, 100.0, 0.3): 0.6
(1, 1.0, 0.1): 0.6
(1, 1.0, 0.2): 1.0
(1, 1.0, 0.3): 0.533333333333
(1, 10.0, 0.1): 0.733333333333
(1, 10.0, 0.2): 0.933333333333
(1, 10.0, 0.3): 0.6
(1, 100.0, 0.1): 0.733333333333
(1, 100.0, 0.2): 0.866666666667
(1, 100.0, 0.3): 0.666666666667
(2, 1.0, 0.1): 0.733333333333
(2, 1.0, 0.2): 0.733333333333
(2, 1.0, 0.3): 0.866666666667
(2, 10.0, 0.1): 0.866666666667
(2, 10.0, 0.2): 0.866666666667
(2, 10.0, 0.3): 0.733333333333
(2, 100.0, 0.1): 0.8
(2, 100.0, 0.2): 0.866666666667
(2, 100.0, 0.3): 0.8
(3, 1.0, 0.1): 0.866666666667
(3, 1.0, 0.2): 0.666666666667
(3, 1.0, 0.3): 0.866666666667
(3, 10.0, 0.1): 0.866666666667
(3, 10.0, 0.2): 0.733333333333
(3, 10.0, 0.3): 0.6
(3, 100.0, 0.1): 0.866666666667
(3, 100.0, 0.2): 0.8
(3, 100.0, 0.3): 0.666666666667
(4, 1.0, 0.2): 0.8
(4, 1.0, 0.3): 0.733333333333
(4, 10.0, 0.2): 0.733333333333
(4, 10.0, 0.3): 0.733333333333
(4, 100.0, 0.3): 0.733333333333
(5, 1.0, 0.2): 1.0
(5, 1.0, 0.3): 0.733333333333
(5, 10.0, 0.2): 1.0
(5, 10.0, 0.3): 0.733333333333
(5, 100.0, 0.2): 1.0
(5, 100.0, 0.3): 0.733333333333
(6, 1.0, 0.1): 0.4
(6, 1.0, 0.3): 0.6
(6, 10.0, 0.1): 0.533333333333
(6, 10.0, 0.2): 0.933333333333
(6, 10.0, 0.3): 0.6
(6, 100.0, 0.1): 0.666666666667
(6, 100.0, 0.3): 0.6
(7, 0.1, 0.3): 0.733333333333
(7, 1.0, 0.2): 0.8
(7, 1.0, 0.3): 0.733333333333
(7, 10.0, 0.2): 0.333333333333
(7, 10.0, 0.3): 0.733333333333
(7, 100.0, 0.2): 0.8
(7, 100.0, 0.3): 0.733333333333
(8, 1.0, 0.1): 0.733333333333
(8, 1.0, 0.2): 0.8
(8, 1.0, 0.3): 0.733333333333
(8, 10.0, 0.1): 0.8
(8, 10.0, 0.2): 0.466666666667
(8, 10.0, 0.3): 0.6
(8, 100.0, 0.1): 1.0
(8, 100.0, 0.2): 0.733333333333
(8, 100.0, 0.3): 0.6
(9, 1.0, 0.1): 0.666666666667
(9, 1.0, 0.2): 0.6
(9, 1.0, 0.3): 0.666666666667
(9, 10.0, 0.1): 0.733333333333
(9, 10.0, 0.2): 0.8
(9, 10.0, 0.3): 0.666666666667
(9, 100.0, 0.1): 0.8
(9, 100.0, 0.2): 0.6
(9, 100.0, 0.3): 0.666666666667

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.0666666666667
(0, 1.0, 0.3): 0.333333333333
(0, 10.0, 0.2): 0.0666666666667
(0, 10.0, 0.3): 0.4
(0, 100.0, 0.2): 0.0666666666667
(0, 100.0, 0.3): 0.4
(1, 1.0, 0.1): 0.4
(1, 1.0, 0.2): 0.0
(1, 1.0, 0.3): 0.466666666667
(1, 10.0, 0.1): 0.266666666667
(1, 10.0, 0.2): 0.0666666666667
(1, 10.0, 0.3): 0.4
(1, 100.0, 0.1): 0.266666666667
(1, 100.0, 0.2): 0.133333333333
(1, 100.0, 0.3): 0.333333333333
(2, 1.0, 0.1): 0.266666666667
(2, 1.0, 0.2): 0.266666666667
(2, 1.0, 0.3): 0.133333333333
(2, 10.0, 0.1): 0.133333333333
(2, 10.0, 0.2): 0.133333333333
(2, 10.0, 0.3): 0.266666666667
(2, 100.0, 0.1): 0.2
(2, 100.0, 0.2): 0.133333333333
(2, 100.0, 0.3): 0.2
(3, 1.0, 0.1): 0.133333333333
(3, 1.0, 0.2): 0.333333333333
(3, 1.0, 0.3): 0.133333333333
(3, 10.0, 0.1): 0.133333333333
(3, 10.0, 0.2): 0.266666666667
(3, 10.0, 0.3): 0.4
(3, 100.0, 0.1): 0.133333333333
(3, 100.0, 0.2): 0.2
(3, 100.0, 0.3): 0.333333333333
(4, 1.0, 0.2): 0.2
(4, 1.0, 0.3): 0.266666666667
(4, 10.0, 0.2): 0.266666666667
(4, 10.0, 0.3): 0.266666666667
(4, 100.0, 0.3): 0.266666666667
(5, 1.0, 0.2): 0.0
(5, 1.0, 0.3): 0.266666666667
(5, 10.0, 0.2): 0.0
(5, 10.0, 0.3): 0.266666666667
(5, 100.0, 0.2): 0.0
(5, 100.0, 0.3): 0.266666666667
(6, 1.0, 0.1): 0.6
(6, 1.0, 0.3): 0.4
(6, 10.0, 0.1): 0.466666666667
(6, 10.0, 0.2): 0.0666666666667
(6, 10.0, 0.3): 0.4
(6, 100.0, 0.1): 0.333333333333
(6, 100.0, 0.3): 0.4
(7, 0.1, 0.3): 0.266666666667
(7, 1.0, 0.2): 0.2
(7, 1.0, 0.3): 0.266666666667
(7, 10.0, 0.2): 0.666666666667
(7, 10.0, 0.3): 0.266666666667
(7, 100.0, 0.2): 0.2
(7, 100.0, 0.3): 0.266666666667
(8, 1.0, 0.1): 0.266666666667
(8, 1.0, 0.2): 0.2
(8, 1.0, 0.3): 0.266666666667
(8, 10.0, 0.1): 0.2
(8, 10.0, 0.2): 0.533333333333
(8, 10.0, 0.3): 0.4
(8, 100.0, 0.1): 0.0
(8, 100.0, 0.2): 0.266666666667
(8, 100.0, 0.3): 0.4
(9, 1.0, 0.1): 0.333333333333
(9, 1.0, 0.2): 0.4
(9, 1.0, 0.3): 0.333333333333
(9, 10.0, 0.1): 0.266666666667
(9, 10.0, 0.2): 0.2
(9, 10.0, 0.3): 0.333333333333
(9, 100.0, 0.1): 0.2
(9, 100.0, 0.2): 0.4
(9, 100.0, 0.3): 0.333333333333

Accuracy mean :0.7412280701754387
Std deviation :0.13720991953602624
Loss mean :0.2587719298245613
Std deviation :0.13720991953602624



Binary Muzzifier_3dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.05 0.1  0.2  0.3 ]
Number of principal dimension considerated: 3
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.3): 0.6
(1, 10.0, 0.2): 0.933333333333
(2, 1.0, 0.3): 0.6
(3, 10.0, 0.2): 0.866666666667
(4, 100.0, 0.2): 1.0
(5, 10.0, 0.2): 1.0
(6, 1.0, 0.3): 0.933333333333
(7, 100.0, 0.2): 0.866666666667
(8, 1.0, 0.2): 0.933333333333
(9, 100.0, 0.2): 0.0666666666667

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.3): 0.4
(1, 10.0, 0.2): 0.0666666666667
(2, 1.0, 0.3): 0.4
(3, 10.0, 0.2): 0.133333333333
(4, 100.0, 0.2): 0.0
(5, 10.0, 0.2): 0.0
(6, 1.0, 0.3): 0.0666666666667
(7, 100.0, 0.2): 0.133333333333
(8, 1.0, 0.2): 0.0666666666667
(9, 100.0, 0.2): 0.933333333333

Accuracy mean :0.78
Std deviation :0.27495454169735045
Loss mean :0.22000000000000003
Std deviation :0.27495454169735045

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 100.0, 0.3): 0.666666666667
(1, 10.0, 0.2): 0.918518518519
(2, 1.0, 0.3): 0.681481481481
(3, 10.0, 0.2): 0.859259259259
(4, 100.0, 0.2): 0.888888888889
(5, 10.0, 0.2): 0.903703703704
(6, 1.0, 0.3): 0.933333333333
(7, 100.0, 0.2): 0.911111111111
(8, 1.0, 0.2): 0.881481481481
(9, 100.0, 0.2): 0.362962962963
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.3): 0.333333333333
(1, 10.0, 0.2): 0.0814814814815
(2, 1.0, 0.3): 0.318518518519
(3, 10.0, 0.2): 0.140740740741
(4, 100.0, 0.2): 0.111111111111
(5, 10.0, 0.2): 0.0962962962963
(6, 1.0, 0.3): 0.0666666666667
(7, 100.0, 0.2): 0.0888888888889
(8, 1.0, 0.2): 0.118518518519
(9, 100.0, 0.2): 0.637037037037

Accuracy mean :0.8007407407407408
Std deviation :0.17198749436146585
Loss mean :0.19925925925925927
Std deviation :0.1719874943614659

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 1.0, 0.2): 0.8
(0, 1.0, 0.3): 1.0
(0, 10.0, 0.2): 0.8
(0, 10.0, 0.3): 0.733333333333
(0, 100.0, 0.2): 0.8
(0, 100.0, 0.3): 1.0
(1, 1.0, 0.2): 0.866666666667
(1, 1.0, 0.3): 0.266666666667
(1, 10.0, 0.2): 0.866666666667
(1, 10.0, 0.3): 0.266666666667
(1, 100.0, 0.2): 0.866666666667
(1, 100.0, 0.3): 0.266666666667
(2, 1.0, 0.2): 0.133333333333
(2, 1.0, 0.3): 0.533333333333
(2, 10.0, 0.2): 0.133333333333
(2, 10.0, 0.3): 0.533333333333
(2, 100.0, 0.2): 0.133333333333
(2, 100.0, 0.3): 0.533333333333
(3, 0.1, 0.3): 0.666666666667
(3, 1.0, 0.2): 0.866666666667
(3, 1.0, 0.3): 0.666666666667
(3, 10.0, 0.2): 1.0
(3, 10.0, 0.3): 0.666666666667
(3, 100.0, 0.2): 0.866666666667
(3, 100.0, 0.3): 0.666666666667
(4, 1.0, 0.2): 1.0
(4, 1.0, 0.3): 0.6
(4, 10.0, 0.2): 1.0
(4, 10.0, 0.3): 0.6
(4, 100.0, 0.2): 1.0
(4, 100.0, 0.3): 0.6
(5, 1.0, 0.2): 0.866666666667
(5, 1.0, 0.3): 0.533333333333
(5, 10.0, 0.2): 0.866666666667
(5, 10.0, 0.3): 0.533333333333
(5, 100.0, 0.2): 0.866666666667
(5, 100.0, 0.3): 0.533333333333
(6, 1.0, 0.2): 0.4
(6, 1.0, 0.3): 0.866666666667
(6, 10.0, 0.2): 0.4
(6, 10.0, 0.3): 0.866666666667
(6, 100.0, 0.2): 0.4
(6, 100.0, 0.3): 0.866666666667
(7, 0.1, 0.3): 0.533333333333
(7, 1.0, 0.2): 0.8
(7, 1.0, 0.3): 0.6
(7, 10.0, 0.2): 0.8
(7, 10.0, 0.3): 0.6
(7, 100.0, 0.2): 0.8
(7, 100.0, 0.3): 0.6
(8, 1.0, 0.2): 0.8
(8, 1.0, 0.3): 0.466666666667
(8, 10.0, 0.2): 0.8
(8, 10.0, 0.3): 0.466666666667
(8, 100.0, 0.2): 0.266666666667
(8, 100.0, 0.3): 0.466666666667
(9, 1.0, 0.2): 0.8
(9, 1.0, 0.3): 0.333333333333
(9, 10.0, 0.2): 0.8
(9, 10.0, 0.3): 0.333333333333
(9, 100.0, 0.2): 0.8
(9, 100.0, 0.3): 0.333333333333

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.2
(0, 1.0, 0.3): 0.0
(0, 10.0, 0.2): 0.2
(0, 10.0, 0.3): 0.266666666667
(0, 100.0, 0.2): 0.2
(0, 100.0, 0.3): 0.0
(1, 1.0, 0.2): 0.133333333333
(1, 1.0, 0.3): 0.733333333333
(1, 10.0, 0.2): 0.133333333333
(1, 10.0, 0.3): 0.733333333333
(1, 100.0, 0.2): 0.133333333333
(1, 100.0, 0.3): 0.733333333333
(2, 1.0, 0.2): 0.866666666667
(2, 1.0, 0.3): 0.466666666667
(2, 10.0, 0.2): 0.866666666667
(2, 10.0, 0.3): 0.466666666667
(2, 100.0, 0.2): 0.866666666667
(2, 100.0, 0.3): 0.466666666667
(3, 0.1, 0.3): 0.333333333333
(3, 1.0, 0.2): 0.133333333333
(3, 1.0, 0.3): 0.333333333333
(3, 10.0, 0.2): 0.0
(3, 10.0, 0.3): 0.333333333333
(3, 100.0, 0.2): 0.133333333333
(3, 100.0, 0.3): 0.333333333333
(4, 1.0, 0.2): 0.0
(4, 1.0, 0.3): 0.4
(4, 10.0, 0.2): 0.0
(4, 10.0, 0.3): 0.4
(4, 100.0, 0.2): 0.0
(4, 100.0, 0.3): 0.4
(5, 1.0, 0.2): 0.133333333333
(5, 1.0, 0.3): 0.466666666667
(5, 10.0, 0.2): 0.133333333333
(5, 10.0, 0.3): 0.466666666667
(5, 100.0, 0.2): 0.133333333333
(5, 100.0, 0.3): 0.466666666667
(6, 1.0, 0.2): 0.6
(6, 1.0, 0.3): 0.133333333333
(6, 10.0, 0.2): 0.6
(6, 10.0, 0.3): 0.133333333333
(6, 100.0, 0.2): 0.6
(6, 100.0, 0.3): 0.133333333333
(7, 0.1, 0.3): 0.466666666667
(7, 1.0, 0.2): 0.2
(7, 1.0, 0.3): 0.4
(7, 10.0, 0.2): 0.2
(7, 10.0, 0.3): 0.4
(7, 100.0, 0.2): 0.2
(7, 100.0, 0.3): 0.4
(8, 1.0, 0.2): 0.2
(8, 1.0, 0.3): 0.533333333333
(8, 10.0, 0.2): 0.2
(8, 10.0, 0.3): 0.533333333333
(8, 100.0, 0.2): 0.733333333333
(8, 100.0, 0.3): 0.533333333333
(9, 1.0, 0.2): 0.2
(9, 1.0, 0.3): 0.666666666667
(9, 10.0, 0.2): 0.2
(9, 10.0, 0.3): 0.666666666667
(9, 100.0, 0.2): 0.2
(9, 100.0, 0.3): 0.666666666667

Accuracy mean :0.6473118279569893
Std deviation :0.24078339788866077
Loss mean :0.35268817204301073
Std deviation :0.2407833978886607



Linear Muzzifier_3dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.05 0.1  0.2  0.3 ]
Number of principal dimension considerated: 3
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
