Crisp_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.05 0.1  0.2  0.3 ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Crisp
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(4, 100.0, 0.3): 0.533333333333
(5, 1.0, 0.1): 0.133333333333
(5, 1.0, 0.2): 0.466666666667
(5, 1.0, 0.3): 0.666666666667
(5, 10.0, 0.1): 0.266666666667
(5, 10.0, 0.2): 0.2
(5, 10.0, 0.3): 0.6
(5, 100.0, 0.1): 0.4
(5, 100.0, 0.2): 0.2
(5, 100.0, 0.3): 0.733333333333
(6, 1.0, 0.1): 0.333333333333
(6, 1.0, 0.2): 0.333333333333
(6, 1.0, 0.3): 0.6
(6, 10.0, 0.1): 0.133333333333
(6, 10.0, 0.2): 0.533333333333
(6, 10.0, 0.3): 0.333333333333
(6, 100.0, 0.1): 0.4
(6, 100.0, 0.2): 0.4
(6, 100.0, 0.3): 0.4
(7, 1.0, 0.1): 0.2
(7, 1.0, 0.2): 0.666666666667
(7, 1.0, 0.3): 0.466666666667
(7, 10.0, 0.1): 0.333333333333
(7, 10.0, 0.2): 0.466666666667
(7, 10.0, 0.3): 0.466666666667
(7, 100.0, 0.1): 0.333333333333
(7, 100.0, 0.2): 0.4
(7, 100.0, 0.3): 0.333333333333
(8, 0.1, 0.3): 0.466666666667
(8, 1.0, 0.1): 0.133333333333
(8, 1.0, 0.2): 0.2
(8, 1.0, 0.3): 0.466666666667
(8, 10.0, 0.1): 0.2
(8, 10.0, 0.2): 0.333333333333
(8, 10.0, 0.3): 0.466666666667
(8, 100.0, 0.1): 0.266666666667
(8, 100.0, 0.2): 0.4
(8, 100.0, 0.3): 0.6
(9, 1.0, 0.1): 0.266666666667
(9, 1.0, 0.2): 0.4
(9, 1.0, 0.3): 0.466666666667
(9, 10.0, 0.1): 0.2
(9, 10.0, 0.2): 0.333333333333
(9, 10.0, 0.3): 0.133333333333
(9, 100.0, 0.1): 0.266666666667
(9, 100.0, 0.2): 0.266666666667
(9, 100.0, 0.3): 0.133333333333

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.2): 0.533333333333
(0, 1.0, 0.3): 0.6
(0, 10.0, 0.2): 0.4
(0, 10.0, 0.3): 0.6
(0, 100.0, 0.2): 0.466666666667
(0, 100.0, 0.3): 0.533333333333
(1, 1.0, 0.1): 0.866666666667
(1, 1.0, 0.2): 0.466666666667
(1, 1.0, 0.3): 0.2
(1, 10.0, 0.1): 0.666666666667
(1, 10.0, 0.2): 0.533333333333
(1, 10.0, 0.3): 0.4
(1, 100.0, 0.1): 0.733333333333
(1, 100.0, 0.2): 0.6
(1, 100.0, 0.3): 0.4
(2, 1.0, 0.1): 0.8
(2, 1.0, 0.2): 0.533333333333
(2, 1.0, 0.3): 0.666666666667
(2, 10.0, 0.1): 0.8
(2, 10.0, 0.2): 0.533333333333
(2, 10.0, 0.3): 0.666666666667
(2, 100.0, 0.1): 0.8
(2, 100.0, 0.2): 0.533333333333
(2, 100.0, 0.3): 0.666666666667
(3, 1.0, 0.1): 0.466666666667
(3, 1.0, 0.2): 0.666666666667
(3, 1.0, 0.3): 0.466666666667
(3, 10.0, 0.1): 0.666666666667
(3, 10.0, 0.2): 0.666666666667
(3, 10.0, 0.3): 0.4
(3, 100.0, 0.1): 0.666666666667
(3, 100.0, 0.2): 0.533333333333
(3, 100.0, 0.3): 0.333333333333
(4, 1.0, 0.2): 0.6
(4, 1.0, 0.3): 0.4
(4, 10.0, 0.2): 0.6
(4, 10.0, 0.3): 0.333333333333
(4, 100.0, 0.2): 0.733333333333
(4, 100.0, 0.3): 0.466666666667
(5, 1.0, 0.1): 0.866666666667
(5, 1.0, 0.2): 0.533333333333
(5, 1.0, 0.3): 0.333333333333
(5, 10.0, 0.1): 0.733333333333
(5, 10.0, 0.2): 0.8
(5, 10.0, 0.3): 0.4
(5, 100.0, 0.1): 0.6
(5, 100.0, 0.2): 0.8
(5, 100.0, 0.3): 0.266666666667
(6, 1.0, 0.1): 0.666666666667
(6, 1.0, 0.2): 0.666666666667
(6, 1.0, 0.3): 0.4
(6, 10.0, 0.1): 0.866666666667
(6, 10.0, 0.2): 0.466666666667
(6, 10.0, 0.3): 0.666666666667
(6, 100.0, 0.1): 0.6
(6, 100.0, 0.2): 0.6
(6, 100.0, 0.3): 0.6
(7, 1.0, 0.1): 0.8
(7, 1.0, 0.2): 0.333333333333
(7, 1.0, 0.3): 0.533333333333
(7, 10.0, 0.1): 0.666666666667
(7, 10.0, 0.2): 0.533333333333
(7, 10.0, 0.3): 0.533333333333
(7, 100.0, 0.1): 0.666666666667
(7, 100.0, 0.2): 0.6
(7, 100.0, 0.3): 0.666666666667
(8, 0.1, 0.3): 0.533333333333
(8, 1.0, 0.1): 0.866666666667
(8, 1.0, 0.2): 0.8
(8, 1.0, 0.3): 0.533333333333
(8, 10.0, 0.1): 0.8
(8, 10.0, 0.2): 0.666666666667
(8, 10.0, 0.3): 0.533333333333
(8, 100.0, 0.1): 0.733333333333
(8, 100.0, 0.2): 0.6
(8, 100.0, 0.3): 0.4
(9, 1.0, 0.1): 0.733333333333
(9, 1.0, 0.2): 0.6
(9, 1.0, 0.3): 0.533333333333
(9, 10.0, 0.1): 0.8
(9, 10.0, 0.2): 0.666666666667
(9, 10.0, 0.3): 0.866666666667
(9, 100.0, 0.1): 0.733333333333
(9, 100.0, 0.2): 0.733333333333
(9, 100.0, 0.3): 0.866666666667

Accuracy mean :0.39764705882352935
Std deviation :0.15456354196388417
Loss mean :0.6023529411764706
Std deviation :0.15456354196388414



Linear_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.05 0.1  0.2  0.3 ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: Linear
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.2): 0.933333333333
(1, 1.0, 0.2): 0.6
(2, 100.0, 0.2): 0.733333333333
(3, 100.0, 0.2): 0.8
(4, 100.0, 0.2): 0.8
(5, 10.0, 0.2): 0.8
(6, 1.0, 0.2): 0.866666666667
(7, 100.0, 0.2): 0.933333333333
(8, 100.0, 0.2): 0.933333333333
(9, 100.0, 0.1): 0.6

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.2): 0.0666666666667
(1, 1.0, 0.2): 0.4
(2, 100.0, 0.2): 0.266666666667
(3, 100.0, 0.2): 0.2
(4, 100.0, 0.2): 0.2
(5, 10.0, 0.2): 0.2
(6, 1.0, 0.2): 0.133333333333
(7, 100.0, 0.2): 0.0666666666667
(8, 100.0, 0.2): 0.0666666666667
(9, 100.0, 0.1): 0.4

Accuracy mean :0.8
Std deviation :0.11925695879998881
Loss mean :0.2
Std deviation :0.1192569587999888

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 100.0, 0.2): 0.874074074074
(1, 1.0, 0.2): 0.77037037037
(2, 100.0, 0.2): 0.896296296296
(3, 100.0, 0.2): 0.881481481481
(4, 100.0, 0.2): 0.888888888889
(5, 10.0, 0.2): 0.874074074074
(6, 1.0, 0.2): 0.866666666667
(7, 100.0, 0.2): 0.874074074074
(8, 100.0, 0.2): 0.866666666667
(9, 100.0, 0.1): 0.711111111111
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 100.0, 0.2): 0.125925925926
(1, 1.0, 0.2): 0.22962962963
(2, 100.0, 0.2): 0.103703703704
(3, 100.0, 0.2): 0.118518518519
(4, 100.0, 0.2): 0.111111111111
(5, 10.0, 0.2): 0.125925925926
(6, 1.0, 0.2): 0.133333333333
(7, 100.0, 0.2): 0.125925925926
(8, 100.0, 0.2): 0.133333333333
(9, 100.0, 0.1): 0.288888888889

Accuracy mean :0.8503703703703703
Std deviation :0.05707069713854287
Loss mean :0.14962962962962964
Std deviation :0.05707069713854287

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 1.0, 0.1): 0.333333333333
(0, 1.0, 0.2): 0.866666666667
(0, 1.0, 0.3): 0.666666666667
(0, 10.0, 0.1): 0.266666666667
(0, 10.0, 0.2): 0.866666666667
(0, 10.0, 0.3): 0.466666666667
(0, 100.0, 0.1): 0.333333333333
(0, 100.0, 0.2): 0.933333333333
(0, 100.0, 0.3): 0.466666666667
(1, 1.0, 0.1): 0.6
(1, 1.0, 0.2): 0.866666666667
(1, 1.0, 0.3): 0.733333333333
(1, 10.0, 0.1): 0.6
(1, 10.0, 0.2): 0.866666666667
(1, 10.0, 0.3): 0.733333333333
(1, 100.0, 0.1): 0.666666666667
(1, 100.0, 0.2): 0.866666666667
(1, 100.0, 0.3): 0.733333333333
(2, 1.0, 0.1): 0.333333333333
(2, 1.0, 0.2): 0.933333333333
(2, 1.0, 0.3): 0.933333333333
(2, 10.0, 0.1): 0.333333333333
(2, 10.0, 0.2): 1.0
(2, 10.0, 0.3): 0.933333333333
(2, 100.0, 0.1): 0.333333333333
(2, 100.0, 0.2): 1.0
(2, 100.0, 0.3): 0.933333333333
(3, 0.1, 0.3): 0.266666666667
(3, 1.0, 0.1): 0.266666666667
(3, 1.0, 0.2): 0.933333333333
(3, 1.0, 0.3): 0.533333333333
(3, 10.0, 0.1): 0.266666666667
(3, 10.0, 0.2): 0.933333333333
(3, 10.0, 0.3): 0.533333333333
(3, 100.0, 0.1): 0.266666666667
(3, 100.0, 0.2): 0.933333333333
(3, 100.0, 0.3): 0.533333333333
(4, 1.0, 0.1): 0.866666666667
(4, 1.0, 0.2): 0.933333333333
(4, 1.0, 0.3): 0.866666666667
(4, 10.0, 0.1): 0.8
(4, 10.0, 0.2): 0.933333333333
(4, 10.0, 0.3): 0.866666666667
(4, 100.0, 0.1): 0.8
(4, 100.0, 0.2): 0.933333333333
(4, 100.0, 0.3): 0.866666666667
(5, 1.0, 0.2): 0.866666666667
(5, 1.0, 0.3): 0.6
(5, 10.0, 0.2): 0.866666666667
(5, 10.0, 0.3): 0.666666666667
(5, 100.0, 0.2): 0.866666666667
(5, 100.0, 0.3): 0.6
(6, 0.1, 0.3): 0.733333333333
(6, 1.0, 0.1): 0.533333333333
(6, 1.0, 0.2): 1.0
(6, 1.0, 0.3): 0.733333333333
(6, 10.0, 0.1): 0.466666666667
(6, 10.0, 0.2): 1.0
(6, 10.0, 0.3): 0.733333333333
(6, 100.0, 0.1): 0.4
(6, 100.0, 0.2): 1.0
(6, 100.0, 0.3): 0.733333333333
(7, 1.0, 0.1): 0.733333333333
(7, 1.0, 0.2): 0.8
(7, 1.0, 0.3): 0.6
(7, 10.0, 0.2): 0.8
(7, 10.0, 0.3): 0.6
(7, 100.0, 0.2): 0.866666666667
(7, 100.0, 0.3): 0.6
(8, 1.0, 0.1): 0.733333333333
(8, 1.0, 0.2): 0.933333333333
(8, 1.0, 0.3): 0.533333333333
(8, 10.0, 0.1): 0.8
(8, 10.0, 0.2): 0.933333333333
(8, 10.0, 0.3): 0.533333333333
(8, 100.0, 0.1): 0.733333333333
(8, 100.0, 0.2): 0.933333333333
(8, 100.0, 0.3): 0.533333333333
(9, 1.0, 0.2): 0.333333333333
(9, 1.0, 0.3): 0.6
(9, 10.0, 0.2): 0.266666666667
(9, 10.0, 0.3): 0.6
(9, 100.0, 0.1): 0.8
(9, 100.0, 0.2): 0.266666666667
(9, 100.0, 0.3): 0.6

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 1.0, 0.1): 0.666666666667
(0, 1.0, 0.2): 0.133333333333
(0, 1.0, 0.3): 0.333333333333
(0, 10.0, 0.1): 0.733333333333
(0, 10.0, 0.2): 0.133333333333
(0, 10.0, 0.3): 0.533333333333
(0, 100.0, 0.1): 0.666666666667
(0, 100.0, 0.2): 0.0666666666667
(0, 100.0, 0.3): 0.533333333333
(1, 1.0, 0.1): 0.4
(1, 1.0, 0.2): 0.133333333333
(1, 1.0, 0.3): 0.266666666667
(1, 10.0, 0.1): 0.4
(1, 10.0, 0.2): 0.133333333333
(1, 10.0, 0.3): 0.266666666667
(1, 100.0, 0.1): 0.333333333333
(1, 100.0, 0.2): 0.133333333333
(1, 100.0, 0.3): 0.266666666667
(2, 1.0, 0.1): 0.666666666667
(2, 1.0, 0.2): 0.0666666666667
(2, 1.0, 0.3): 0.0666666666667
(2, 10.0, 0.1): 0.666666666667
(2, 10.0, 0.2): 0.0
(2, 10.0, 0.3): 0.0666666666667
(2, 100.0, 0.1): 0.666666666667
(2, 100.0, 0.2): 0.0
(2, 100.0, 0.3): 0.0666666666667
(3, 0.1, 0.3): 0.733333333333
(3, 1.0, 0.1): 0.733333333333
(3, 1.0, 0.2): 0.0666666666667
(3, 1.0, 0.3): 0.466666666667
(3, 10.0, 0.1): 0.733333333333
(3, 10.0, 0.2): 0.0666666666667
(3, 10.0, 0.3): 0.466666666667
(3, 100.0, 0.1): 0.733333333333
(3, 100.0, 0.2): 0.0666666666667
(3, 100.0, 0.3): 0.466666666667
(4, 1.0, 0.1): 0.133333333333
(4, 1.0, 0.2): 0.0666666666667
(4, 1.0, 0.3): 0.133333333333
(4, 10.0, 0.1): 0.2
(4, 10.0, 0.2): 0.0666666666667
(4, 10.0, 0.3): 0.133333333333
(4, 100.0, 0.1): 0.2
(4, 100.0, 0.2): 0.0666666666667
(4, 100.0, 0.3): 0.133333333333
(5, 1.0, 0.2): 0.133333333333
(5, 1.0, 0.3): 0.4
(5, 10.0, 0.2): 0.133333333333
(5, 10.0, 0.3): 0.333333333333
(5, 100.0, 0.2): 0.133333333333
(5, 100.0, 0.3): 0.4
(6, 0.1, 0.3): 0.266666666667
(6, 1.0, 0.1): 0.466666666667
(6, 1.0, 0.2): 0.0
(6, 1.0, 0.3): 0.266666666667
(6, 10.0, 0.1): 0.533333333333
(6, 10.0, 0.2): 0.0
(6, 10.0, 0.3): 0.266666666667
(6, 100.0, 0.1): 0.6
(6, 100.0, 0.2): 0.0
(6, 100.0, 0.3): 0.266666666667
(7, 1.0, 0.1): 0.266666666667
(7, 1.0, 0.2): 0.2
(7, 1.0, 0.3): 0.4
(7, 10.0, 0.2): 0.2
(7, 10.0, 0.3): 0.4
(7, 100.0, 0.2): 0.133333333333
(7, 100.0, 0.3): 0.4
(8, 1.0, 0.1): 0.266666666667
(8, 1.0, 0.2): 0.0666666666667
(8, 1.0, 0.3): 0.466666666667
(8, 10.0, 0.1): 0.2
(8, 10.0, 0.2): 0.0666666666667
(8, 10.0, 0.3): 0.466666666667
(8, 100.0, 0.1): 0.266666666667
(8, 100.0, 0.2): 0.0666666666667
(8, 100.0, 0.3): 0.466666666667
(9, 1.0, 0.2): 0.666666666667
(9, 1.0, 0.3): 0.4
(9, 10.0, 0.2): 0.733333333333
(9, 10.0, 0.3): 0.4
(9, 100.0, 0.1): 0.2
(9, 100.0, 0.2): 0.733333333333
(9, 100.0, 0.3): 0.4

Accuracy mean :0.6925490196078431
Std deviation :0.22523054103892282
Loss mean :0.30745098039215685
Std deviation :0.22523054103892282



QuantileConstPiecewise_2dim, number of iterations: 10

Parameters info
Tradeoffs parameter: [  0.1   1.   10.  100. ]
Gaussian kernel sigmas: [0.05 0.1  0.2  0.3 ]
Number of principal dimension considerated: 2
Dataset length: 150

Clusterization info
Minimum size of a cluster: in perc: 0.01, in int: 2
Type of mu: Binary Muzzifier
Fuzzifier: QuantileConstPiecewise
Cluster to label info
Force the number of cluster to be the number of different labels: False
Force the labels to be always represent by a cluster: False

Validation info
Conflict resolution: random


RESULTS

On TEST set

Accuracy on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.3): 0.6
(1, 100.0, 0.3): 0.6
(2, 10.0, 0.3): 0.866666666667
(3, 10.0, 0.3): 0.666666666667
(4, 100.0, 0.3): 0.733333333333
(5, 1.0, 0.3): 0.0
(6, 0.1, 0.3): 0.6
(7, 1.0, 0.3): 0.4
(8, 1.0, 0.3): 0.533333333333
(9, 100.0, 0.3): 0.533333333333

Loss on test set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.3): 0.4
(1, 100.0, 0.3): 0.4
(2, 10.0, 0.3): 0.133333333333
(3, 10.0, 0.3): 0.333333333333
(4, 100.0, 0.3): 0.266666666667
(5, 1.0, 0.3): 1.0
(6, 0.1, 0.3): 0.4
(7, 1.0, 0.3): 0.6
(8, 1.0, 0.3): 0.466666666667
(9, 100.0, 0.3): 0.466666666667

Accuracy mean :0.5533333333333333
Std deviation :0.21919042963698127
Loss mean :0.44666666666666666
Std deviation :0.21919042963698127

On TRAINING set

Accuracy on training set for every iteration (n_of_the_iter, c, sigma):
(0, 10.0, 0.3): 0.659259259259
(1, 100.0, 0.3): 0.666666666667
(2, 10.0, 0.3): 0.711111111111
(3, 10.0, 0.3): 0.659259259259
(4, 100.0, 0.3): 0.681481481481
(5, 1.0, 0.3): 0.362962962963
(6, 0.1, 0.3): 0.762962962963
(7, 1.0, 0.3): 0.303703703704
(8, 1.0, 0.3): 0.711111111111
(9, 100.0, 0.3): 0.681481481481
Loss on training set for every iteration (n_of_the_iter, best_c, best_sigma):
(0, 10.0, 0.3): 0.340740740741
(1, 100.0, 0.3): 0.333333333333
(2, 10.0, 0.3): 0.288888888889
(3, 10.0, 0.3): 0.340740740741
(4, 100.0, 0.3): 0.318518518519
(5, 1.0, 0.3): 0.637037037037
(6, 0.1, 0.3): 0.237037037037
(7, 1.0, 0.3): 0.696296296296
(8, 1.0, 0.3): 0.288888888889
(9, 100.0, 0.3): 0.318518518519

Accuracy mean :0.6199999999999999
Std deviation :0.14696005074772883
Loss mean :0.38
Std deviation :0.14696005074772886

On ALL the sets

Accuracy on all the set for every iteration, for every couple c,sigma (n_of_the_iter, c, sigma):
(0, 0.1, 0.3): 0.533333333333
(0, 1.0, 0.2): 0.533333333333
(0, 1.0, 0.3): 0.533333333333
(0, 10.0, 0.1): 0.333333333333
(0, 10.0, 0.2): 0.333333333333
(0, 10.0, 0.3): 0.533333333333
(0, 100.0, 0.2): 0.4
(0, 100.0, 0.3): 0.533333333333
(1, 1.0, 0.1): 0.4
(1, 1.0, 0.2): 0.4
(1, 1.0, 0.3): 0.6
(1, 10.0, 0.1): 0.133333333333
(1, 10.0, 0.2): 0.533333333333
(1, 10.0, 0.3): 0.6
(1, 100.0, 0.1): 0.4
(1, 100.0, 0.2): 0.333333333333
(1, 100.0, 0.3): 0.6
(2, 1.0, 0.2): 0.733333333333
(2, 1.0, 0.3): 0.8
(2, 10.0, 0.2): 0.6
(2, 10.0, 0.3): 0.866666666667
(2, 100.0, 0.2): 0.533333333333
(2, 100.0, 0.3): 0.666666666667
(3, 1.0, 0.1): 0.4
(3, 1.0, 0.2): 0.466666666667
(3, 1.0, 0.3): 0.6
(3, 10.0, 0.1): 0.4
(3, 10.0, 0.2): 0.466666666667
(3, 10.0, 0.3): 0.8
(3, 100.0, 0.1): 0.466666666667
(3, 100.0, 0.2): 0.4
(3, 100.0, 0.3): 0.6
(4, 1.0, 0.1): 0.133333333333
(4, 1.0, 0.2): 0.466666666667
(4, 1.0, 0.3): 0.733333333333
(4, 10.0, 0.1): 0.266666666667
(4, 10.0, 0.2): 0.533333333333
(4, 10.0, 0.3): 0.8
(4, 100.0, 0.1): 0.333333333333
(4, 100.0, 0.2): 0.533333333333
(4, 100.0, 0.3): 0.866666666667
(5, 1.0, 0.1): 0.266666666667
(5, 1.0, 0.2): 0.466666666667
(5, 1.0, 0.3): 0.8
(5, 10.0, 0.1): 0.333333333333
(5, 10.0, 0.2): 0.6
(5, 10.0, 0.3): 0.733333333333
(5, 100.0, 0.1): 0.2
(5, 100.0, 0.2): 0.533333333333
(5, 100.0, 0.3): 0.733333333333
(6, 0.1, 0.3): 0.733333333333
(6, 1.0, 0.1): 0.333333333333
(6, 1.0, 0.2): 0.266666666667
(6, 1.0, 0.3): 0.733333333333
(6, 10.0, 0.1): 0.466666666667
(6, 10.0, 0.2): 0.2
(6, 10.0, 0.3): 0.733333333333
(6, 100.0, 0.1): 0.333333333333
(6, 100.0, 0.2): 0.333333333333
(6, 100.0, 0.3): 0.733333333333
(7, 1.0, 0.1): 0.333333333333
(7, 1.0, 0.2): 0.866666666667
(7, 1.0, 0.3): 0.866666666667
(7, 10.0, 0.1): 0.333333333333
(7, 10.0, 0.2): 0.466666666667
(7, 10.0, 0.3): 0.133333333333
(7, 100.0, 0.1): 0.266666666667
(7, 100.0, 0.2): 0.666666666667
(7, 100.0, 0.3): 0.8
(8, 1.0, 0.1): 0.133333333333
(8, 1.0, 0.2): 0.4
(8, 1.0, 0.3): 0.733333333333
(8, 10.0, 0.1): 0.133333333333
(8, 10.0, 0.2): 0.466666666667
(8, 10.0, 0.3): 0.133333333333
(8, 100.0, 0.2): 0.533333333333
(8, 100.0, 0.3): 0.466666666667
(9, 0.1, 0.3): 0.666666666667
(9, 1.0, 0.1): 0.333333333333
(9, 1.0, 0.2): 0.466666666667
(9, 1.0, 0.3): 0.666666666667
(9, 10.0, 0.1): 0.333333333333
(9, 10.0, 0.2): 0.666666666667
(9, 10.0, 0.3): 0.666666666667
(9, 100.0, 0.1): 0.4
(9, 100.0, 0.2): 0.6
(9, 100.0, 0.3): 0.666666666667

Loss on all the set for every iteration, for every couple c,sigma (n_of_the_iter, best_c, best_sigma):
(0, 0.1, 0.3): 0.466666666667
(0, 1.0, 0.2): 0.466666666667
(0, 1.0, 0.3): 0.466666666667
(0, 10.0, 0.1): 0.666666666667
(0, 10.0, 0.2): 0.666666666667
(0, 10.0, 0.3): 0.466666666667
(0, 100.0, 0.2): 0.6
(0, 100.0, 0.3): 0.466666666667
(1, 1.0, 0.1): 0.6
(1, 1.0, 0.2): 0.6
(1, 1.0, 0.3): 0.4
(1, 10.0, 0.1): 0.866666666667
(1, 10.0, 0.2): 0.466666666667
(1, 10.0, 0.3): 0.4
(1, 100.0, 0.1): 0.6
(1, 100.0, 0.2): 0.666666666667
(1, 100.0, 0.3): 0.4
(2, 1.0, 0.2): 0.266666666667
(2, 1.0, 0.3): 0.2
(2, 10.0, 0.2): 0.4
(2, 10.0, 0.3): 0.133333333333
(2, 100.0, 0.2): 0.466666666667
(2, 100.0, 0.3): 0.333333333333
(3, 1.0, 0.1): 0.6
(3, 1.0, 0.2): 0.533333333333
(3, 1.0, 0.3): 0.4
(3, 10.0, 0.1): 0.6
(3, 10.0, 0.2): 0.533333333333
(3, 10.0, 0.3): 0.2
(3, 100.0, 0.1): 0.533333333333
(3, 100.0, 0.2): 0.6
(3, 100.0, 0.3): 0.4
(4, 1.0, 0.1): 0.866666666667
(4, 1.0, 0.2): 0.533333333333
(4, 1.0, 0.3): 0.266666666667
(4, 10.0, 0.1): 0.733333333333
(4, 10.0, 0.2): 0.466666666667
